							ACO					
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	
	10	3	21	200	1.0	1.0	8311.859	00:07:04.00	4	00:00:08.16	00:00:28.84	
	10	2	21	100	1.0	1.0	7298.471	00:35:20.00	9	00:00:34.79	00:00:55.02	
	10	2	21	200	0.0	0.0	6830.957	00:18:07.00	8	00:04:01.17	00:04:18.08	
	10	2	21	200	1.0	0.5	6864.964	00:18:01.00	8	00:02:54.59	00:03:14.98	
	10	3	21	200	1.0	0.5	7493.113	00:04:11.00	4	00:03:26.00	00:03:47.92	
	10	3	21	100	0.0	0.0	7458.199	00:04:11.00	4	00:05:33.93	00:05:56.44	
	10	2	21	100	1.0	0.5	6875.093	00:18:07.00	8	00:03:04.89	00:03:21.84	
	10	3	21	200	0.0	0.0	7458.199	00:04:11.00	4	00:05:36.17	00:05:54.00	
	10	2	21	200	1.0	1.0	7298.471	00:35:20.00	9	00:00:34.27	00:00:54.24	
	10	2	21	100	0.0	0.0	6820.828	00:18:01.00	8	00:04:00.66	00:04:57.99	
	10	3	21	100	1.0	1.0	8311.859	00:07:04.00	4	00:00:08.62	00:00:31.37	
	10	3	21	100	1.0	0.5	7493.113	00:04:11.00	4	00:03:12.68	00:03:32.86	

DISTANCES
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO	
	10	2	21	100	1.0	0.5	6875.093	
	10	2	21	200	1.0	0.5	6864.964	
	10	2	21	100	0.0	0.0	6820.828	
	10	2	21	200	0.0	0.0	6830.957	
	10	3	21	100	0.0	0.0	7458.199	
	10	3	21	200	0.0	0.0	7458.199	
	10	2	21	100	1.0	1.0	7298.471	
	10	2	21	200	1.0	1.0	7298.471	
	10	3	21	100	1.0	0.5	7493.113	
	10	3	21	200	1.0	0.5	7493.113	
	10	3	21	100	1.0	1.0	8311.859	
	10	3	21	200	1.0	1.0	8311.859	

AVG DISTANCES
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO	
	10	2	21		1.0	0.5	6870.0285	
	10	2	21		0.0	0.0	6825.8925	
	10	3	21		0.0	0.0	7458.199	
	10	2	21		1.0	1.0	7298.471	
	10	3	21		1.0	0.5	7493.113	
	10	3	21		1.0	1.0	8311.859	

OVERSPENT TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO	
	10	2	21	100	1.0	0.5	00:18:07.00	
	10	2	21	200	1.0	0.5	00:18:01.00	
	10	2	21	100	0.0	0.0	00:18:01.00	
	10	2	21	200	0.0	0.0	00:18:07.00	
	10	3	21	100	0.0	0.0	00:04:11.00	
	10	3	21	200	0.0	0.0	00:04:11.00	
	10	2	21	100	1.0	1.0	00:35:20.00	
	10	2	21	200	1.0	1.0	00:35:20.00	
	10	3	21	100	1.0	0.5	00:04:11.00	
	10	3	21	200	1.0	0.5	00:04:11.00	
	10	3	21	100	1.0	1.0	00:07:04.00	
	10	3	21	200	1.0	1.0	00:07:04.00	

AVG OVERSPENT TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO	
	10	2	21		1.0	0.5	00:18:04.00	
	10	2	21		0.0	0.0	00:18:04.00	
	10	3	21		0.0	0.0	00:04:11.00	
	10	2	21		1.0	1.0	00:35:20.00	
	10	3	21		1.0	0.5	00:04:11.00	
	10	3	21		1.0	1.0	00:07:04.00	

TIME WINDOWS OVERRUN
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO	
	10	2	21	100	1.0	0.5	8	
	10	2	21	200	1.0	0.5	8	
	10	2	21	100	0.0	0.0	8	
	10	2	21	200	0.0	0.0	8	
	10	3	21	100	0.0	0.0	4	
	10	3	21	200	0.0	0.0	4	
	10	2	21	100	1.0	1.0	9	
	10	2	21	200	1.0	1.0	9	
	10	3	21	100	1.0	0.5	4	
	10	3	21	200	1.0	0.5	4	
	10	3	21	100	1.0	1.0	4	
	10	3	21	200	1.0	1.0	4	

AVG TIME WINDOWS OVERRUN
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO	
	10	2	21		1.0	0.5	8.0	
	10	2	21		0.0	0.0	8.0	
	10	3	21		0.0	0.0	4.0	
	10	2	21		1.0	1.0	9.0	
	10	3	21		1.0	0.5	4.0	
	10	3	21		1.0	1.0	4.0	

MISSION SCHEDULER COMPUTING TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO	
	10	2	21	100	1.0	0.5	00:03:04.89	
	10	2	21	200	1.0	0.5	00:02:54.59	
	10	2	21	100	0.0	0.0	00:04:00.66	
	10	2	21	200	0.0	0.0	00:04:01.17	
	10	3	21	100	0.0	0.0	00:05:33.93	
	10	3	21	200	0.0	0.0	00:05:36.17	
	10	2	21	100	1.0	1.0	00:00:34.79	
	10	2	21	200	1.0	1.0	00:00:34.27	
	10	3	21	100	1.0	0.5	00:03:12.68	
	10	3	21	200	1.0	0.5	00:03:26.00	
	10	3	21	100	1.0	1.0	00:00:08.62	
	10	3	21	200	1.0	1.0	00:00:08.16	

AVG MISSION SCHEDULER COMPUTING TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO	
	10	2	21		1.0	0.5	00:02:59.74	
	10	2	21		0.0	0.0	00:04:00.91	
	10	3	21		0.0	0.0	00:05:35.05	
	10	2	21		1.0	1.0	00:00:34.53	
	10	3	21		1.0	0.5	00:03:19.34	
	10	3	21		1.0	1.0	00:00:08.39	

OVERALL EXECUTION TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO	
	10	2	21	100	1.0	0.5	00:03:21.84	
	10	2	21	200	1.0	0.5	00:03:14.98	
	10	2	21	100	0.0	0.0	00:04:57.99	
	10	2	21	200	0.0	0.0	00:04:18.08	
	10	3	21	100	0.0	0.0	00:05:56.44	
	10	3	21	200	0.0	0.0	00:05:54.00	
	10	2	21	100	1.0	1.0	00:00:55.02	
	10	2	21	200	1.0	1.0	00:00:54.24	
	10	3	21	100	1.0	0.5	00:03:32.86	
	10	3	21	200	1.0	0.5	00:03:47.92	
	10	3	21	100	1.0	1.0	00:00:31.37	
	10	3	21	200	1.0	1.0	00:00:28.84	

AVG OVERALL EXECUTION TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO	
	10	2	21		1.0	0.5	00:03:18.41	
