							Linear					
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	
	10	2	21	100	0.5	1.0	7848.319	00:27:59.00	9	00:00:00.00	00:00:19.97	
	10	2	21	100	0.5	0.66	7543.247	00:23:13.00	8	00:00:00.00	00:00:20.33	
	10	4	21	100	0.0	0.0	8993.754	00:00:00.00	0	00:00:00.00	00:00:24.69	
	10	4	21	100	0.5	0.66	8980.739	00:07:02.00	2	00:00:00.00	00:00:21.85	
	10	2	21	100	1.0	0.66	8112.83	00:24:46.00	8	00:00:00.00	00:00:20.46	
	10	3	21	100	0.5	0.33	8886.843	00:10:13.00	5	00:00:00.00	00:00:24.72	
	10	3	21	100	0.5	0.66	8646.368	00:13:49.00	5	00:00:00.00	00:00:21.48	
	10	2	21	100	0.5	0.33	7562.841	00:17:04.00	7	00:00:00.00	00:00:20.07	
	10	3	21	100	0.5	1.0	8913.001	00:07:02.00	5	00:00:00.00	00:00:22.60	
	10	2	21	100	1.0	0.33	8112.83	00:24:46.00	8	00:00:00.00	00:00:19.96	
	10	3	21	100	1.0	0.66	8474.892	00:04:14.00	5	00:00:00.00	00:00:20.74	
	10	3	21	100	1.0	1.0	8587.443	00:05:41.00	6	00:00:00.00	00:00:22.70	
	10	2	21	100	1.0	1.0	8112.83	00:26:47.00	8	00:00:00.00	00:00:19.99	
	10	2	21	100	0.0	0.0	8104.402	00:24:58.00	8	00:00:00.00	00:01:07.12	
	10	4	21	100	1.0	0.33	9030.074	00:00:00.00	0	00:00:00.00	00:00:23.04	
	10	3	21	100	0.0	0.0	8434.917	00:04:10.00	5	00:00:00.00	00:00:22.64	
	10	4	21	100	0.5	1.0	9161.089	00:11:38.00	4	00:00:00.00	00:00:22.90	
	10	4	21	100	1.0	1.0	9030.074	00:00:04.00	1	00:00:00.00	00:00:23.10	
	10	4	21	100	1.0	0.66	9030.074	00:00:00.00	0	00:00:00.00	00:00:21.53	
	10	3	21	100	1.0	0.33	8474.892	00:04:14.00	5	00:00:00.00	00:00:22.03	
	10	4	21	100	0.5	0.33	8376.238	00:05:41.00	2	00:00:00.00	00:00:22.82	

DISTANCES
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	Linear	
	10	4	21	100	0.5	0.66	8980.739	
	10	3	21	100	0.5	1.0	8913.001	
	10	3	21	100	1.0	0.33	8474.892	
	10	4	21	100	0.5	0.33	8376.238	
	10	3	21	100	0.5	0.33	8886.843	
	10	4	21	100	0.5	1.0	9161.089	
	10	3	21	100	0.5	0.66	8646.368	
	10	3	21	100	1.0	1.0	8587.443	
	10	2	21	100	1.0	0.66	8112.83	
	10	3	21	100	1.0	0.66	8474.892	
	10	4	21	100	1.0	0.33	9030.074	
	10	2	21	100	0.0	0.0	8104.402	
	10	2	21	100	0.5	0.33	7562.841	
	10	2	21	100	0.5	1.0	7848.319	
	10	3	21	100	0.0	0.0	8434.917	
	10	2	21	100	1.0	0.33	8112.83	
	10	2	21	100	1.0	1.0	8112.83	
	10	4	21	100	1.0	1.0	9030.074	
	10	4	21	100	1.0	0.66	9030.074	
	10	2	21	100	0.5	0.66	7543.247	
	10	4	21	100	0.0	0.0	8993.754	

AVG DISTANCES
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	Linear	
	10	4	21		0.5	0.66	8980.739	
	10	3	21		0.5	1.0	8913.001	
	10	3	21		1.0	0.33	8474.892	
	10	4	21		0.5	0.33	8376.238	
	10	3	21		0.5	0.33	8886.843	
	10	4	21		0.5	1.0	9161.089	
	10	3	21		0.5	0.66	8646.368	
	10	3	21		1.0	1.0	8587.443	
	10	2	21		1.0	0.66	8112.83	
	10	3	21		1.0	0.66	8474.892	
	10	4	21		1.0	0.33	9030.074	
	10	2	21		0.0	0.0	8104.402	
	10	2	21		0.5	0.33	7562.841	
	10	2	21		0.5	1.0	7848.319	
	10	3	21		0.0	0.0	8434.917	
	10	2	21		1.0	0.33	8112.83	
	10	2	21		1.0	1.0	8112.83	
	10	4	21		1.0	1.0	9030.074	
	10	4	21		1.0	0.66	9030.074	
	10	2	21		0.5	0.66	7543.247	
	10	4	21		0.0	0.0	8993.754	

OVERSPENT TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	Linear	
	10	4	21	100	0.5	0.66	00:07:02.00	
	10	3	21	100	0.5	1.0	00:07:02.00	
	10	3	21	100	1.0	0.33	00:04:14.00	
	10	4	21	100	0.5	0.33	00:05:41.00	
	10	3	21	100	0.5	0.33	00:10:13.00	
