#Algo	0 – 0	0.5 – 0.33	0.5 – 0.66	0.5 – 1.0	1.0 – 0.33	1.0 – 0.66	1.0 – 1.0	0 – 0	0.5 – 0.33	0.5 – 0.66	0.5 – 1.0	1.0 – 0.33	1.0 – 0.66	1.0 – 1.0	0 – 0	0.5 – 0.33	0.5 – 0.66	0.5 – 1.0	1.0 – 0.33	1.0 – 0.66	1.0 – 1.0	0 – 0	0.5 – 0.33	0.5 – 0.66	0.5 – 1.0	1.0 – 0.33	1.0 – 0.66	1.0 – 1.0	0 – 0	0.5 – 0.33	0.5 – 0.66	0.5 – 1.0	1.0 – 0.33	1.0 – 0.66	1.0 – 1.0
#"AVG ACO_{0,1}"	00:06:37.57	00:19:12.16	00:03:24.75	00:01:38.20	00:07:28.63	00:01:30.13	00:00:06.92	00:06:59.07	00:19:32.10	00:03:46.13	00:01:59.13	00:07:47.53	00:01:50.16	00:00:29.57	7537.87	7489.30	7323.18	8284.23	7239.20	7294.23	8766.10	00:05:59.50	00:35:04.00	00:14:58.50	00:03:11.50	00:13:29.00	00:24:53.50	00:04:57.00	4.5	9	4.5	4.5	8	7.5	3.5
"AVG ACO_{1,0}"	00:06:25.82	00:08:56.44	00:04:30.00	00:01:14.59	00:06:40.61	00:02:28.45	00:00:07.60	00:06:44.21	00:09:15.80	00:04:48.51	00:01:36.06	00:07:00.61	00:02:46.36	00:00:27.49	6591.36	6599.44	7112.11	8202.24	6598.33	6667.30	7657.72	00:15:42.00	00:15:38.00	00:14:46.00	00:00:58.00	00:15:44.00	00:15:13.00	00:12:34.00	9	9	5	2	9	9	7
"AVG ACO_{1,1}"	00:03:16.22	00:03:36.20	00:02:48.91	00:00:25.31	00:03:16.46	00:01:38.07	00:00:05.01	00:03:41.40	00:03:56.22	00:03:08.67	00:00:47.52	00:03:37.38	00:01:58.19	00:00:26.08	7912.08	7975.14	7725.12	8406.41	7909.35	7858.03	8984.06	00:00:24.80	00:00:30.50	00:06:40.50	00:00:49.00	00:00:18.10	00:02:28.70	00:00:07.90	0.8	1	1.8	2	0.6	0.6	1
"AVG ACO_{1,5}"	00:03:34.11	00:04:01.39	00:03:23.42	00:00:35.30	00:03:32.73	00:00:46.08	00:00:05.62	00:03:55.70	00:04:22.91	00:03:45.85	00:00:56.69	00:03:55.51	00:01:07.98	00:00:29.08	7964.23	7968.04	7895.87	7803.85	7975.52	7860.22	8987.79	00:00:54.50	00:00:53.50	00:00:58.50	00:03:04.00	00:00:58.50	00:00:58.50	00:00:09.00	2	2	2	2.5	2	2	1
"AVG ACO_{1,50}"	00:03:31.66	00:03:43.70	00:02:54.05	00:00:24.49	00:03:42.97	00:00:48.38	00:00:05.33	00:03:51.75	00:04:04.46	00:03:14.38	00:00:45.73	00:04:03.68	00:01:09.75	00:00:27.37	7978.91	7938.04	7750.85	8406.41	7971.52	7847.05	8987.79	00:01:22.90	00:01:21.90	00:06:38.60	00:00:49.00	00:00:57.00	00:02:18.00	00:00:09.00	2.2	2.2	2	2	2	2	1
"AVG ACO_{5,1}"	00:00:15.31	00:00:18.36	00:00:16.14	00:00:09.20	00:00:18.86	00:00:11.27	00:00:04.66	00:00:33.83	00:00:38.63	00:00:36.10	00:00:29.27	00:00:38.62	00:00:30.76	00:00:25.57	7025.55	7241.30	7003.77	7596.50	7040.41	7140.95	7924.07	00:07:43.30	00:06:08.40	00:02:54.90	00:08:01.30	00:07:45.00	00:08:24.20	00:07:57.60	4.4	3.6	1.6	4.4	4.4	4.5	4.6
"AVG ACO_{50,1}"	00:07:53.38	00:05:23.41	00:03:25.96	00:01:51.51	00:07:02.16	00:02:53.18	00:00:35.05	00:08:10.54	00:05:41.99	00:03:44.61	00:02:10.20	00:07:19.78	00:03:12.01	00:00:52.94	6637.71	6760.10	6920.14	7168.87	6727.17	6779.56	7275.52	00:15:44.10	00:14:36.50	00:01:04.60	00:15:58.00	00:14:16.20	00:15:31.00	00:17:49.40	8.9	8	1.4	8.8	8.1	8.7	9.3
#"Greedy"	00:01:28.40	00:00:48.32	00:00:39.94	00:00:46.98	00:00:42.76	00:00:31.26	00:00:29.87	00:01:59.99	00:01:11.00	00:01:00.47	00:01:08.75	00:01:04.99	00:00:53.06	00:00:54.14	7808.504	8048.143	7374.697	7851.788	7716.662	7563.375	9003.681	00:00:00.00	00:00:00.00	00:01:26.00	00:04:28.00	00:00:00.00	00:00:00.00	00:00:03.00	0	0	1	3	0	0	1
#"Linear"	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:24.69	00:00:22.82	00:00:21.85	00:00:22.90	00:00:23.04	00:00:21.53	00:00:23.10	8993.754	8376.238	8980.739	9161.089	9030.074	9030.074	9030.074	00:00:00.00	00:05:41.00	00:07:02.00	00:11:38.00	00:00:00.00	00:00:00.00	00:00:04.00	0	2	2	4	0	0	1


