#Algo	0 – 0	0.5 – 0.33	0.5 – 0.66	0.5 – 1.0	1.0 – 0.33	1.0 – 0.66	1.0 – 1.0	0 – 0	0.5 – 0.33	0.5 – 0.66	0.5 – 1.0	1.0 – 0.33	1.0 – 0.66	1.0 – 1.0	0 – 0	0.5 – 0.33	0.5 – 0.66	0.5 – 1.0	1.0 – 0.33	1.0 – 0.66	1.0 – 1.0	0 – 0	0.5 – 0.33	0.5 – 0.66	0.5 – 1.0	1.0 – 0.33	1.0 – 0.66	1.0 – 1.0	0 – 0	0.5 – 0.33	0.5 – 0.66	0.5 – 1.0	1.0 – 0.33	1.0 – 0.66	1.0 – 1.0
"AVG ACO_{0,1}"	00:04:47.44	00:14:07.79	00:02:20.55	00:01:12.69	00:05:19.55	00:00:52.18	00:00:06.43	00:05:06.65	00:14:26.39	00:02:38.24	00:01:33.21	00:05:38.03	00:01:11.79	00:00:27.72	7083.22	7433.32	7047.62	7787.55	7138.44	7096.09	8499.40	00:08:12.00	00:37:54.00	00:17:33.00	00:11:44.50	00:14:33.50	00:25:58.50	00:07:03.00	5	9	6	6	8	8.5	4.5
"AVG ACO_{1,0}"	00:04:52.54	00:06:51.33	00:02:01.25	00:00:57.20	00:04:50.37	00:01:58.52	00:00:26.01	00:05:11.42	00:07:11.19	00:02:21.63	00:01:17.84	00:05:09.09	00:02:17.33	00:00:46.43	6601.74	6593.82	7198.64	7869.00	6593.82	6675.97	7470.70	00:15:49.00	00:15:45.00	00:14:52.50	00:05:24.00	00:15:45.00	00:15:22.00	00:14:52.50	9	9	5	4	9	9	8
"AVG ACO_{1,1}"	00:02:33.11	00:03:41.49	00:02:19.62	00:01:20.30	00:02:35.87	00:01:37.34	00:00:05.74	00:02:51.90	00:04:01.18	00:02:38.09	00:01:39.59	00:02:55.02	00:01:56.44	00:00:26.21	7523.43	7501.38	6840.19	7592.80	7419.84	7222.96	8311.86	00:05:13.00	00:05:08.50	00:12:42.10	00:06:56.60	00:04:11.20	00:07:00.60	00:07:04.00	4.4	4.5	4.8	4.2	4	2	4
"AVG ACO_{1,5}"	00:02:23.96	00:02:57.75	00:02:42.29	00:00:35.50	00:02:46.72	00:01:07.68	00:00:06.01	00:02:41.82	00:03:17.27	00:02:58.86	00:00:55.77	00:03:07.34	00:01:27.96	00:00:27.65	7467.40	7390.72	7212.59	7433.84	7619.91	7442.14	8311.86	00:05:29.00	00:06:02.00	00:08:02.00	00:04:12.00	00:05:37.00	00:07:03.00	00:07:04.00	4.5	4.5	4	3.5	4.5	4	4
"AVG ACO_{1,50}"	00:02:34.67	00:03:06.02	00:03:32.77	00:01:13.53	00:02:49.86	00:01:04.92	00:00:05.74	00:02:53.11	00:03:26.03	00:03:51.92	00:01:33.34	00:03:08.65	00:01:23.78	00:00:26.19	7568.93	7462.00	7293.02	8007.98	7497.86	7271.90	8311.86	00:06:12.00	00:06:17.30	00:07:12.50	00:11:02.50	00:06:00.20	00:07:08.30	00:07:04.00	4.4	4.5	4.4	4.5	4.6	4	4
"AVG ACO_{5,1}"	00:03:47.37	00:04:43.20	00:03:02.72	00:01:32.35	00:03:26.88	00:01:10.03	00:00:05.94	00:04:05.82	00:05:01.28	00:03:19.52	00:01:51.37	00:03:44.62	00:01:27.90	00:00:25.61	6931.58	6975.03	6327.55	7261.06	6954.26	6949.42	7931.07	00:04:11.80	00:04:30.40	00:10:38.60	00:07:19.80	00:04:11.40	00:04:45.90	00:07:17.50	4	4	5	4	4	3.2	4
"AVG ACO_{50,1}"	00:04:44.86	00:05:48.43	00:05:13.38	00:02:08.84	00:05:08.10	00:02:22.10	00:00:25.02	00:05:01.34	00:06:06.50	00:05:31.40	00:02:26.70	00:05:24.97	00:02:39.43	00:00:43.24	6645.82	6776.29	6743.47	7086.59	6664.35	6732.62	7207.80	00:14:51.80	00:13:25.80	00:15:02.20	00:14:57.80	00:15:48.80	00:15:34.90	00:19:30.90	8.7	7.7	8.6	9.4	8.8	8.8	9.8
"Greedy"	00:01:02.33	00:00:56.17	00:00:51.94	00:00:42.59	00:00:46.51	00:00:33.44	00:00:28.53	00:01:22.04	00:01:16.29	00:01:12.28	00:01:03.11	00:01:05.86	00:00:54.04	00:00:50.26	6995.92	7135.21	7181.52	7709.31	7152.41	7493.70	8099.73	00:04:03.00	00:05:27.00	00:07:41.00	00:05:04.00	00:04:24.00	00:04:14.00	00:05:40.00	5	4	4	5	5	5	6
"Linear"	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:22.64	00:00:24.72	00:00:21.48	00:00:22.60	00:00:22.03	00:00:20.74	00:00:22.70	8434.92	8886.84	8646.37	8913.00	8474.89	8474.89	8587.44	00:04:10.00	00:10:13.00	00:13:49.00	00:07:02.00	00:04:14.00	00:04:14.00	00:05:41.00	5	5	5	5	5	5	6





