#Algo	Distance M=2	Distance M=3	Distance M=4	O_T M=2	O_T M=3	O_T M=4
"AVG ACO_{0,1}"	11053.15	11483.503	11483.503	00:49:28.50	00:34:49.50	00:34:49.50
"AVG ACO_{1,0}"	10521.132	10565.97	10394.2965	00:14:38.50	00:06:22.00	00:02:17.00
"AVG ACO_{1,1}"	10370.3295	10943.8435	10956.3325	00:19:07.00	00:00:00.00	00:00:00.00
"AVG ACO_{1,5}"	10378.268	10960.985	10999.257	00:12:50.50	00:00:00.00	00:00:00.00
"AVG ACO_{1,50}"	10383.3205	10943.8435	10956.3325	00:12:52.50	00:00:00.00	00:00:00.00
"AVG ACO_{5,1}"	10201.555	10633.497	10354.4175	00:16:14.00	00:02:46.00	00:02:19.50
"AVG ACO_{50,1}"	10490.2545	10618.1075	10346.9715	00:12:48.50	00:02:51.50	00:02:17.00
"Greedy"	10148.424	10618.999	10990.078	00:14:27.00	00:00:00.00	00:00:00.00
"Linear"	11311.277	12607.272	13100.068	00:21:14.00	00:00:00.00	00:00:00.00
"Branch & Bound"	9975.557	10558.978		0	00:07:33.00	00:00:00.00	0:00:00.00
