						ACO			
Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	
10	2	21	200	1.0	0.5	6864.964	00:18:01.00	8	
10	2	21	100	1.0	1.0	7298.471	00:35:20.00	9	
10	3	21	100	1.0	1.0	8311.859	00:07:04.00	4	
10	2	21	500	0.0	0.0	6820.828	00:18:01.00	8	
10	3	21	100	0.75	1.0	7163.858	00:10:01.00	5	
10	3	21	300	1.0	1.0	8311.859	00:07:04.00	4	
10	3	21	300	1.0	0.5	7493.113	00:04:11.00	4	
10	3	21	500	1.0	0.5	7493.113	00:04:11.00	4	
10	3	21	500	0.0	0.0	7440.927	00:04:15.00	4	
10	2	21	200	0.0	0.0	6830.957	00:18:07.00	8	
10	3	21	400	0.75	1.0	7163.858	00:10:01.00	5	
10	2	21	500	0.75	0.5	6820.828	00:18:01.00	8	
10	2	21	400	0.75	1.0	6154.144	00:31:13.00	8	
10	3	21	200	0.0	0.0	7458.199	00:04:11.00	4	
10	2	21	100	0.75	0.5	6820.828	00:18:01.00	8	
10	3	21	300	0.0	0.0	7440.927	00:04:15.00	4	
10	2	21	300	0.0	0.0	6705.445	00:16:00.00	6	
10	2	21	100	1.0	0.5	6875.093	00:18:07.00	8	
10	2	21	400	1.0	1.0	7298.471	00:35:20.00	9	
10	3	21	400	1.0	1.0	8311.859	00:07:04.00	4	
10	2	21	300	0.75	1.0	6288.631	00:33:00.00	10	
10	2	21	300	0.75	0.5	6820.828	00:18:01.00	8	
10	3	21	500	1.0	1.0	8311.859	00:07:04.00	4	
10	3	21	100	0.0	0.0	7458.199	00:04:11.00	4	
10	2	21	400	1.0	0.5	6864.964	00:18:01.00	8	
10	3	21	200	1.0	0.5	7493.113	00:04:11.00	4	
10	3	21	200	0.75	0.5	7448.976	00:04:11.00	4	
10	3	21	300	0.75	1.0	7163.858	00:10:01.00	5	
10	2	21	500	0.75	1.0	6288.631	00:33:00.00	10	
10	2	21	400	0.0	0.0	6941.852	00:18:35.00	8	
10	3	21	100	1.0	0.5	7493.113	00:04:11.00	4	
10	2	21	500	1.0	1.0	7298.471	00:35:20.00	9	
10	2	21	300	1.0	0.5	6864.964	00:18:01.00	8	
10	3	21	400	0.0	0.0	7458.199	00:04:11.00	4	
10	3	21	300	0.75	0.5	7448.976	00:04:11.00	4	
10	2	21	100	0.0	0.0	6820.828	00:18:01.00	8	
10	3	21	500	0.75	1.0	7163.858	00:10:01.00	5	
10	2	21	100	0.75	1.0	6154.144	00:31:13.00	8	
10	2	21	200	0.75	0.5	6820.828	00:18:01.00	8	
10	2	21	200	0.75	1.0	6288.631	00:33:00.00	10	
10	2	21	200	1.0	1.0	7298.471	00:35:20.00	9	
10	2	21	300	1.0	1.0	7298.471	00:35:20.00	9	
10	2	21	400	0.75	0.5	6820.828	00:18:01.00	8	
10	3	21	400	1.0	0.5	7493.113	00:04:11.00	4	
10	3	21	500	0.75	0.5	7448.976	00:04:11.00	4	
10	3	21	200	1.0	1.0	8311.859	00:07:04.00	4	
10	2	21	500	1.0	0.5	6864.964	00:18:01.00	8	
10	3	21	100	0.75	0.5	7448.976	00:04:11.00	4	
10	3	21	400	0.75	0.5	7448.976	00:04:11.00	4	
10	3	21	200	0.75	1.0	7163.858	00:10:01.00	5	

DISTANCES
Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO	
10	3	21	100	0.75	0.5	7448.976	
10	3	21	200	0.75	0.5	7448.976	
10	3	21	500	0.75	0.5	7448.976	
10	3	21	400	0.75	0.5	7448.976	
10	3	21	300	0.75	0.5	7448.976	
10	2	21	100	1.0	0.5	6875.093	
10	2	21	200	1.0	0.5	6864.964	
10	2	21	500	1.0	0.5	6864.964	
10	2	21	400	1.0	0.5	6864.964	
10	2	21	300	1.0	0.5	6864.964	
10	3	21	100	0.75	1.0	7163.858	
10	3	21	200	0.75	1.0	7163.858	
10	3	21	500	0.75	1.0	7163.858	
10	3	21	400	0.75	1.0	7163.858	
10	3	21	300	0.75	1.0	7163.858	
10	2	21	100	0.75	1.0	6154.144	
10	2	21	200	0.75	1.0	6288.631	
10	2	21	500	0.75	1.0	6288.631	
10	2	21	400	0.75	1.0	6154.144	
10	2	21	300	0.75	1.0	6288.631	
10	2	21	100	0.0	0.0	6820.828	
10	2	21	200	0.0	0.0	6830.957	
10	2	21	500	0.0	0.0	6820.828	
10	2	21	400	0.0	0.0	6941.852	
10	2	21	300	0.0	0.0	6705.445	
10	3	21	100	0.0	0.0	7458.199	
10	3	21	200	0.0	0.0	7458.199	
10	3	21	500	0.0	0.0	7440.927	
10	3	21	400	0.0	0.0	7458.199	
10	3	21	300	0.0	0.0	7440.927	
10	2	21	100	1.0	1.0	7298.471	
10	2	21	200	1.0	1.0	7298.471	
10	2	21	500	1.0	1.0	7298.471	
10	2	21	400	1.0	1.0	7298.471	
10	2	21	300	1.0	1.0	7298.471	
10	3	21	100	1.0	0.5	7493.113	
10	3	21	200	1.0	0.5	7493.113	
10	3	21	500	1.0	0.5	7493.113	
10	3	21	400	1.0	0.5	7493.113	
10	3	21	300	1.0	0.5	7493.113	
10	2	21	100	0.75	0.5	6820.828	
10	2	21	200	0.75	0.5	6820.828	
10	2	21	500	0.75	0.5	6820.828	
10	2	21	400	0.75	0.5	6820.828	
10	2	21	300	0.75	0.5	6820.828	
10	3	21	100	1.0	1.0	8311.859	
10	3	21	200	1.0	1.0	8311.859	
10	3	21	500	1.0	1.0	8311.859	
10	3	21	400	1.0	1.0	8311.859	
10	3	21	300	1.0	1.0	8311.859	

AVG DISTANCES
Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO	
10	3	21		0.75	0.5	7448.976	
10	2	21		1.0	0.5	6866.9898	
10	3	21		0.75	1.0	7163.858	
10	2	21		0.75	1.0	6234.836200000001	
10	2	21		0.0	0.0	6823.982000000001	
10	3	21		0.0	0.0	7451.2902	
10	2	21		1.0	1.0	7298.471	
10	3	21		1.0	0.5	7493.113	
10	2	21		0.75	0.5	6820.8279999999995	
10	3	21		1.0	1.0	8311.859	

OVERSPENT TIME
Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO	
10	3	21	100	0.75	0.5	00:04:11.00	
10	3	21	200	0.75	0.5	00:04:11.00	
10	3	21	500	0.75	0.5	00:04:11.00	
10	3	21	400	0.75	0.5	00:04:11.00	
10	3	21	300	0.75	0.5	00:04:11.00	
10	2	21	100	1.0	0.5	00:18:07.00	
10	2	21	200	1.0	0.5	00:18:01.00	
10	2	21	500	1.0	0.5	00:18:01.00	
10	2	21	400	1.0	0.5	00:18:01.00	
10	2	21	300	1.0	0.5	00:18:01.00	
10	3	21	100	0.75	1.0	00:10:01.00	
10	3	21	200	0.75	1.0	00:10:01.00	
10	3	21	500	0.75	1.0	00:10:01.00	
10	3	21	400	0.75	1.0	00:10:01.00	
10	3	21	300	0.75	1.0	00:10:01.00	
10	2	21	100	0.75	1.0	00:31:13.00	
10	2	21	200	0.75	1.0	00:33:00.00	
10	2	21	500	0.75	1.0	00:33:00.00	
10	2	21	400	0.75	1.0	00:31:13.00	
10	2	21	300	0.75	1.0	00:33:00.00	
10	2	21	100	0.0	0.0	00:18:01.00	
10	2	21	200	0.0	0.0	00:18:07.00	
10	2	21	500	0.0	0.0	00:18:01.00	
10	2	21	400	0.0	0.0	00:18:35.00	
10	2	21	300	0.0	0.0	00:16:00.00	
10	3	21	100	0.0	0.0	00:04:11.00	
10	3	21	200	0.0	0.0	00:04:11.00	
10	3	21	500	0.0	0.0	00:04:15.00	
10	3	21	400	0.0	0.0	00:04:11.00	
10	3	21	300	0.0	0.0	00:04:15.00	
10	2	21	100	1.0	1.0	00:35:20.00	
10	2	21	200	1.0	1.0	00:35:20.00	
10	2	21	500	1.0	1.0	00:35:20.00	
10	2	21	400	1.0	1.0	00:35:20.00	
10	2	21	300	1.0	1.0	00:35:20.00	
10	3	21	100	1.0	0.5	00:04:11.00	
10	3	21	200	1.0	0.5	00:04:11.00	
10	3	21	500	1.0	0.5	00:04:11.00	
10	3	21	400	1.0	0.5	00:04:11.00	
10	3	21	300	1.0	0.5	00:04:11.00	
10	2	21	100	0.75	0.5	00:18:01.00	
10	2	21	200	0.75	0.5	00:18:01.00	
10	2	21	500	0.75	0.5	00:18:01.00	
10	2	21	400	0.75	0.5	00:18:01.00	
10	2	21	300	0.75	0.5	00:18:01.00	
10	3	21	100	1.0	1.0	00:07:04.00	
10	3	21	200	1.0	1.0	00:07:04.00	
10	3	21	500	1.0	1.0	00:07:04.00	
10	3	21	400	1.0	1.0	00:07:04.00	
10	3	21	300	1.0	1.0	00:07:04.00	

AVG OVERSPENT TIME
Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO	
10	3	21		0.75	0.5	00:04:11.00	
10	2	21		1.0	0.5	00:18:02.20	
10	3	21		0.75	1.0	00:10:01.00	
10	2	21		0.75	1.0	00:32:17.20	
10	2	21		0.0	0.0	00:17:44.80	
10	3	21		0.0	0.0	00:04:12.60	
10	2	21		1.0	1.0	00:35:20.00	
10	3	21		1.0	0.5	00:04:11.00	
10	2	21		0.75	0.5	00:18:01.00	
10	3	21		1.0	1.0	00:07:04.00	

TIME WINDOWS OVERRUN
Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO	
10	3	21	100	0.75	0.5	4	
10	3	21	200	0.75	0.5	4	
10	3	21	500	0.75	0.5	4	
10	3	21	400	0.75	0.5	4	
10	3	21	300	0.75	0.5	4	
10	2	21	100	1.0	0.5	8	
10	2	21	200	1.0	0.5	8	
10	2	21	500	1.0	0.5	8	
10	2	21	400	1.0	0.5	8	
10	2	21	300	1.0	0.5	8	
10	3	21	100	0.75	1.0	5	
10	3	21	200	0.75	1.0	5	
10	3	21	500	0.75	1.0	5	
10	3	21	400	0.75	1.0	5	
10	3	21	300	0.75	1.0	5	
10	2	21	100	0.75	1.0	8	
10	2	21	200	0.75	1.0	10	
10	2	21	500	0.75	1.0	10	
10	2	21	400	0.75	1.0	8	
10	2	21	300	0.75	1.0	10	
10	2	21	100	0.0	0.0	8	
10	2	21	200	0.0	0.0	8	
10	2	21	500	0.0	0.0	8	
10	2	21	400	0.0	0.0	8	
10	2	21	300	0.0	0.0	6	
10	3	21	100	0.0	0.0	4	
10	3	21	200	0.0	0.0	4	
10	3	21	500	0.0	0.0	4	
10	3	21	400	0.0	0.0	4	
10	3	21	300	0.0	0.0	4	
10	2	21	100	1.0	1.0	9	
10	2	21	200	1.0	1.0	9	
10	2	21	500	1.0	1.0	9	
10	2	21	400	1.0	1.0	9	
10	2	21	300	1.0	1.0	9	
10	3	21	100	1.0	0.5	4	
10	3	21	200	1.0	0.5	4	
10	3	21	500	1.0	0.5	4	
10	3	21	400	1.0	0.5	4	
10	3	21	300	1.0	0.5	4	
10	2	21	100	0.75	0.5	8	
10	2	21	200	0.75	0.5	8	
10	2	21	500	0.75	0.5	8	
10	2	21	400	0.75	0.5	8	
10	2	21	300	0.75	0.5	8	
10	3	21	100	1.0	1.0	4	
10	3	21	200	1.0	1.0	4	
10	3	21	500	1.0	1.0	4	
10	3	21	400	1.0	1.0	4	
10	3	21	300	1.0	1.0	4	

AVG TIME WINDOWS OVERRUN
Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO	
10	3	21		0.75	0.5	4.0	
10	2	21		1.0	0.5	8.0	
10	3	21		0.75	1.0	5.0	
10	2	21		0.75	1.0	9.2	
10	2	21		0.0	0.0	7.6	
10	3	21		0.0	0.0	4.0	
10	2	21		1.0	1.0	9.0	
10	3	21		1.0	0.5	4.0	
10	2	21		0.75	0.5	8.0	
10	3	21		1.0	1.0	4.0	

MISSION SCHEDULER COMPUTING TIME
Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO	
10	3	21	100	0.75	0.5	00:03:28.72	
10	3	21	200	0.75	0.5	00:03:13.62	
10	3	21	500	0.75	0.5	00:02:48.69	
10	3	21	400	0.75	0.5	00:02:52.67	
10	3	21	300	0.75	0.5	00:02:44.61	
10	2	21	100	1.0	0.5	00:03:01.98	
10	2	21	200	1.0	0.5	00:02:53.43	
10	2	21	500	1.0	0.5	00:02:53.23	
10	2	21	400	1.0	0.5	00:02:54.08	
10	2	21	300	1.0	0.5	00:02:54.33	
10	3	21	100	0.75	1.0	00:00:43.63	
10	3	21	200	0.75	1.0	00:00:44.43	
