							Greedy			ACO							
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	
	10	2	21	200	1.0	0.5	6587.098	00:20:25.00	5	00:00:41.29	00:00:58.31						
	10	2	21	100	1.0	1.0	8017.876	00:24:44.00	7	00:00:29.48	00:00:50.73						
	10	3	21	100	1.0	1.0	8007.12	00:05:06.00	6	00:00:30.86	00:00:52.80						
	10	3	21	200	0.0	0.0						7458.199	00:04:11.00	4	00:05:14.38	00:05:31.54	
	10	2	21	100	0.75	0.5						6688.189	00:19:06.00	6	00:02:18.79	00:02:37.47	
	10	2	21	200	0.75	1.0						6154.144	00:31:13.00	8	00:00:47.95	00:01:03.37	
	10	3	21	100	0.75	1.0	7863.696	00:17:43.00	7	00:00:34.90	00:00:54.36						
	10	2	21	100	1.0	1.0						7746.78	00:30:02.00	7	00:00:32.28	00:00:51.49	
	10	2	21	100	0.75	1.0						6154.144	00:31:13.00	8	00:00:47.70	00:01:02.52	
	10	2	21	200	0.0	0.0						6830.957	00:18:07.00	8	00:03:50.85	00:04:07.41	
	10	3	21	100	0.75	1.0						7163.858	00:10:01.00	5	00:00:42.99	00:01:02.29	
	10	3	21	200	1.0	0.5						7493.113	00:04:11.00	4	00:03:05.75	00:03:22.26	
	10	2	21	200	0.75	0.5						6682.817	00:21:23.00	6	00:02:19.79	00:02:34.76	
	10	2	21	200	0.0	0.0	6656.982	00:18:31.00	6	00:01:09.73	00:01:28.09						
	10	3	21	200	1.0	1.0						8311.859	00:07:04.00	4	00:00:08.43	00:00:29.63	
	10	3	21	100	0.75	1.0						7163.858	00:10:01.00	5	00:00:40.68	00:00:55.84	
	10	3	21	100	0.0	0.0						7256.764	00:05:24.00	4	00:04:41.85	00:04:58.92	
	10	2	21	100	1.0	0.5						6875.093	00:18:07.00	8	00:02:44.90	00:03:01.45	
	10	3	21	100	1.0	1.0						8311.859	00:07:04.00	4	00:00:07.84	00:00:25.40	
	10	3	21	200	1.0	1.0						8311.859	00:07:04.00	4	00:00:08.24	00:00:28.65	
	10	2	21	200	1.0	1.0						7746.78	00:30:02.00	7	00:00:32.31	00:00:51.03	
	10	2	21	100	1.0	1.0						7298.471	00:35:20.00	9	00:00:32.52	00:00:50.89	
	10	3	21	200	0.0	0.0	6995.917	00:04:03.00	5	00:00:59.31	00:01:17.53						
	10	2	21	100	0.75	0.5	6071.639	00:22:11.00	8	00:00:37.09	00:00:51.73						
	10	3	21	200	1.0	0.5						7493.113	00:04:11.00	4	00:03:04.90	00:03:25.77	
	10	3	21	100	1.0	1.0						8311.859	00:07:04.00	4	00:00:08.05	00:00:27.68	
	10	2	21	100	0.0	0.0						6820.828	00:18:01.00	8	00:03:29.70	00:03:46.88	
	10	2	21	100	1.0	0.5	6587.098	00:20:25.00	5	00:00:46.46	00:01:04.69						
	10	3	21	100	1.0	0.5						7493.113	00:04:11.00	4	00:02:50.61	00:03:08.44	
	10	2	21	200	1.0	0.5						6842.578	00:18:30.00	6	00:02:12.98	00:02:31.55	
	10	2	21	200	0.0	0.0						6705.445	00:16:00.00	6	00:02:53.39	00:03:09.16	
	10	3	21	100	0.0	0.0	6995.917	00:04:03.00	5	00:00:54.97	00:01:12.73						
	10	3	21	200	1.0	0.5	7491.229	00:02:57.00	5	00:00:36.42	00:00:55.87						
	10	3	21	200	0.75	0.5	7567.676	00:08:36.00	5	00:00:43.48	00:01:04.31						
	10	2	21	100	0.75	1.0						6154.144	00:31:13.00	8	00:00:48.07	00:01:04.20	
	10	2	21	200	0.75	1.0						6288.631	00:33:00.00	10	00:00:52.42	00:01:08.60	
	10	3	21	100	0.0	0.0						7458.199	00:04:11.00	4	00:04:36.94	00:04:55.11	
	10	3	21	100	1.0	0.5	7491.229	00:02:57.00	5	00:00:36.63	00:00:56.12						
	10	2	21	100	0.75	0.5						6682.817	00:21:23.00	6	00:02:20.94	00:02:38.45	
	10	2	21	100	0.0	0.0						6570.846	00:30:52.00	7	00:02:56.79	00:03:15.89	
	10	2	21	200	1.0	1.0						7298.471	00:35:20.00	9	00:00:32.45	00:00:50.17	
	10	2	21	100	0.0	0.0	6656.982	00:18:31.00	6	00:04:46.41	00:05:42.83						
	10	2	21	100	0.75	1.0	7099.667	01:10:43.00	11	00:00:42.92	00:00:59.82						
	10	2	21	200	0.75	0.5	6071.639	00:22:11.00	8	00:00:52.95	00:01:10.82						
	10	2	21	200	0.75	1.0	7099.667	01:10:43.00	11	00:00:53.31	00:01:12.64						
	10	2	21	200	1.0	1.0	8017.876	00:24:44.00	7	00:00:29.06	00:00:50.12						
	10	3	21	200	0.75	0.5						7296.464	00:07:02.00	2	00:03:55.60	00:04:15.80	
	10	3	21	100	0.75	0.5						7296.464	00:07:02.00	2	00:03:39.69	00:03:56.31	
	10	3	21	200	0.0	0.0						7458.199	00:04:11.00	4	00:04:56.73	00:05:14.04	
