FILE	DISTANCE	OVERSPENT TIME	OVERRUN TW
xml/results/10missions/2vehicles/deploymentGreedy_1_100_1_0,5.d2cts	6587.098	00:20:25.00	5
AVERAGE	6587.098	00:21:25.00	5

xml/results/10missions/3vehicles/deploymentACO_F1=F2=1_1_100_1_1.d2cts	8311.859	00:07:04.00	4
AVERAGE	8311.859	00:08:04.00	4

xml/results/10missions/3vehicles/deploymentGreedy_1_100_0_0.d2cts	6995.917	00:04:03.00	5
AVERAGE	6995.917	00:05:03.00	5

xml/results/10missions/3vehicles/deploymentACO_F1=1|F2=5_1_200_0,75_1.d2cts	7163.858	00:10:01.00	5
AVERAGE	7163.858	00:11:01.00	5

xml/results/10missions/2vehicles/deploymentACO_F1=1|F2=5_1_100_0,75_1.d2cts	6154.144	00:31:13.00	8
AVERAGE	6154.144	00:32:13.00	8

xml/results/10missions/3vehicles/deploymentGreedy_1_200_1_0,5.d2cts	7491.229	00:02:57.00	5
AVERAGE	7491.229	00:03:57.00	5

xml/results/10missions/2vehicles/deploymentACO_F1=1|F2=5_1_200_0,75_0,5.d2cts	6682.817	00:21:23.00	6
AVERAGE	6682.817	00:22:23.00	6

xml/results/10missions/3vehicles/deploymentGreedy_1_100_1_1.d2cts	8007.12	00:05:06.00	6
AVERAGE	8007.12	00:06:06.00	6

xml/results/10missions/2vehicles/deploymentACO_F1=F2=1_1_100_0,75_1.d2cts	6154.144	00:31:13.00	8
AVERAGE	6154.144	00:32:13.00	8

xml/results/10missions/3vehicles/deploymentACO_F1=1|F2=5_1_200_0,75_0,5.d2cts	7498.179	00:04:06.00	4
AVERAGE	7498.179	00:05:06.00	4

xml/results/10missions/2vehicles/deploymentACO_F1=1|F2=5_1_200_0,75_1.d2cts	6154.144	00:31:13.00	8
AVERAGE	6154.144	00:32:13.00	8

xml/results/10missions/3vehicles/deploymentACO_F1=F2=1_1_200_1_0,5.d2cts	7493.113	00:04:11.00	4
AVERAGE	7493.113	00:05:11.00	4

xml/results/10missions/3vehicles/deploymentACO_F1=1|F2=5_1_100_0,75_1.d2cts	7163.858	00:10:01.00	5
AVERAGE	7163.858	00:11:01.00	5

xml/results/10missions/3vehicles/deploymentGreedy_1_200_0,75_1.d2cts	7863.696	00:17:43.00	7
AVERAGE	7863.696	00:18:43.00	7

xml/results/10missions/2vehicles/deploymentACO_F1=F2=1_1_100_0_0.d2cts	6820.828	00:18:01.00	8
AVERAGE	6820.828	00:19:01.00	8

