							ACO_F1=1_F2=5_Sync=100					ACO_F1=1_F2=5_Sync=1000					ACO_F1=5_F2=1_Sync=100					ACO_F1=5_F2=1_Sync=1000					ACO_F1=F2=1_Sync=100					ACO_F1=F2=1_Sync=1000					Greedy					
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	
	10	2	21	100	1.0	1.0	7773.955	00:30:23.00	7	00:00:03.34	00:00:20.92	7298.471	00:35:20.00	9	00:00:33.01	00:00:51.98	7183.685	00:18:42.00	6	00:00:03.00	00:00:21.75	7287.523	00:25:27.00	9	00:00:25.34	00:00:44.04	7773.955	00:30:23.00	7	00:00:03.63	00:00:22.46	7298.471	00:35:20.00	9	00:00:32.94	00:00:51.90	7707.131	00:23:02.00	7	00:00:22.85	00:00:40.66	
	10	3	21	100	1.0	1.0	8311.859	00:07:04.00	4	00:00:03.78	00:00:26.35	8311.859	00:07:04.00	4	00:00:08.32	00:00:29.17	7981.452	00:07:31.00	4	00:00:02.82	00:00:20.08	7880.685	00:07:04.00	4	00:00:08.77	00:00:29.45	8311.859	00:07:04.00	4	00:00:02.92	00:00:21.84	8311.859	00:07:04.00	4	00:00:08.37	00:00:29.40	8099.733	00:05:40.00	6	00:00:30.63	00:00:53.36	
	10	2	21	500	0.5	0.33	6820.828	00:18:01.00	8	00:00:13.83	00:00:33.18	6820.828	00:18:01.00	8	00:04:55.57	00:05:14.49	6462.91	00:18:40.00	9	00:00:15.08	00:00:33.07	6462.91	00:18:40.00	9	00:05:40.08	00:05:58.61	6820.828	00:18:01.00	8	00:00:13.76	00:00:33.02	6820.828	00:18:01.00	8	00:04:56.18	00:05:12.83	7453.518	00:18:35.00	7	00:01:07.41	00:01:27.64	
	10	3	21	400	0.5	0.33	7522.042	00:06:33.00	5	00:00:15.37	00:00:36.62	7458.199	00:04:11.00	4	00:07:06.09	00:07:23.74	6959.208	00:04:11.00	4	00:00:14.95	00:00:31.92	6959.208	00:04:11.00	4	00:09:11.98	00:09:32.16	7522.042	00:06:33.00	5	00:00:15.40	00:00:36.50	7458.199	00:04:11.00	4	00:06:55.14	00:07:12.29	7135.212	00:05:27.00	4	00:00:50.22	00:01:08.91	
	10	2	21	100	1.0	0.66	6911.312	00:21:49.00	7	00:00:06.67	00:00:23.10	6703.389	00:21:25.00	6	00:02:24.62	00:02:43.26	6629.288	00:31:21.00	8	00:00:07.10	00:00:22.31	6644.289	00:21:25.00	6	00:02:23.61	00:02:41.29	6911.312	00:21:49.00	7	00:00:07.71	00:00:26.17	6703.389	00:21:25.00	6	00:02:25.80	00:02:44.18	6855.696	00:18:31.00	6	00:00:31.33	00:00:48.99	
	10	2	21	300	0.5	0.66	6639.247	00:28:25.00	9	00:00:10.13	00:00:27.88	6240.648	00:28:22.00	7	00:02:52.21	00:03:06.82	5911.369	00:28:22.00	7	00:00:10.21	00:00:27.54	5911.369	00:28:22.00	7	00:03:03.76	00:03:21.56	6639.247	00:28:25.00	9	00:00:10.38	00:00:28.54	6240.648	00:28:22.00	7	00:02:52.40	00:03:10.24	6997.117	00:21:17.00	6	00:00:52.80	00:01:11.82	
	10	2	21	500	0.0	0.0	6570.846	00:30:52.00	7	00:00:06.69	00:00:22.62	6820.828	00:18:01.00	8	00:03:47.72	00:04:06.14	6222.685	00:18:12.00	10	00:00:08.60	00:00:25.62	6462.91	00:18:40.00	9	00:04:18.26	00:04:34.22	6570.846	00:30:52.00	7	00:00:08.00	00:00:26.96	6820.828	00:18:01.00	8	00:03:38.66	00:03:55.89	6656.982	00:18:31.00	6	00:01:10.08	00:01:28.24	
	10	3	21	500	0.5	0.66	6789.289	00:15:48.00	4	00:00:13.02	00:00:32.87	6779.784	00:10:43.00	5	00:04:31.59	00:04:46.61	6339.755	00:10:32.00	5	00:00:14.13	00:00:32.29	6319.406	00:10:43.00	5	00:05:53.72	00:06:12.09	6789.289	00:15:48.00	4	00:00:12.01	00:00:30.75	6779.784	00:10:43.00	5	00:04:29.43	00:04:48.79	7181.518	00:07:41.00	4	00:00:52.35	00:01:12.82	
	10	3	21	300	1.0	1.0	8311.859	00:07:04.00	4	00:00:03.56	00:00:24.95	8311.859	00:07:04.00	4	00:00:08.46	00:00:30.38	7981.452	00:07:31.00	4	00:00:03.53	00:00:23.93	7880.685	00:07:04.00	4	00:00:08.72	00:00:29.59	8311.859	00:07:04.00	4	00:00:03.65	00:00:25.99	8311.859	00:07:04.00	4	00:00:07.75	00:00:25.58	8099.733	00:05:40.00	6	00:00:27.73	00:00:49.17	
