							Greedy					
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	
	10	4	21	100	0.5	0.33	8048.167	00:00:00.00	0	00:00:48.89	00:01:11.74	
	10	4	21	100	1.0	0.66	7563.375	00:00:00.00	0	00:00:32.10	00:00:54.36	
	10	4	21	300	0.0	0.0	7808.504	00:00:00.00	0	00:00:55.28	00:01:17.69	
	10	4	21	500	0.5	0.33	8048.167	00:00:00.00	0	00:00:46.44	00:01:08.47	
	10	4	21	500	1.0	0.66	7563.375	00:00:00.00	0	00:00:31.05	00:00:52.86	
	10	4	21	400	1.0	0.66	7563.375	00:00:00.00	0	00:00:31.54	00:00:53.38	
	10	4	21	100	0.5	1.0	7851.788	00:04:28.00	3	00:00:46.39	00:01:08.18	
	10	4	21	400	0.5	0.33	8048.167	00:00:00.00	0	00:00:48.93	00:01:11.63	
	10	4	21	300	0.5	0.33	8048.167	00:00:00.00	0	00:00:52.11	00:01:16.00	
	10	4	21	100	1.0	0.33	7716.662	00:00:00.00	0	00:00:41.42	00:01:02.99	
	10	4	21	200	0.5	0.66	7374.697	00:01:26.00	1	00:00:37.79	00:00:58.38	
	10	4	21	100	0.0	0.0	7808.504	00:00:00.00	0	00:03:49.61	00:04:59.64	
	10	4	21	200	0.5	1.0	7851.788	00:04:28.00	3	00:00:48.10	00:01:09.87	
	10	4	21	100	0.5	0.66	7374.697	00:01:26.00	1	00:00:42.37	00:01:04.41	
	10	4	21	400	0.5	1.0	7851.788	00:04:28.00	3	00:00:47.61	00:01:09.40	
	10	4	21	500	0.0	0.0	7808.504	00:00:00.00	0	00:00:52.21	00:01:14.17	
	10	4	21	300	1.0	0.66	7563.375	00:00:00.00	0	00:00:30.52	00:00:51.91	
	10	4	21	300	0.5	1.0	7851.788	00:04:28.00	3	00:00:47.06	00:01:08.65	
	10	4	21	500	0.5	0.66	7374.697	00:01:26.00	1	00:00:42.55	00:01:04.56	
	10	4	21	500	1.0	0.33	7716.662	00:00:00.00	0	00:00:40.47	00:01:02.01	
	10	4	21	200	1.0	1.0	9003.681	00:00:03.00	1	00:00:29.19	00:00:53.02	
	10	4	21	200	0.5	0.33	8048.167	00:00:00.00	0	00:00:45.21	00:01:07.16	
	10	4	21	400	1.0	0.33	7716.662	00:00:00.00	0	00:00:45.72	00:01:08.89	
	10	4	21	400	0.0	0.0	7808.504	00:00:00.00	0	00:00:52.98	00:01:14.71	
	10	4	21	300	1.0	1.0	9003.681	00:00:03.00	1	00:00:31.39	00:00:56.31	
	10	4	21	100	1.0	1.0	9003.681	00:00:03.00	1	00:00:28.10	00:00:51.76	
	10	4	21	400	1.0	1.0	9003.681	00:00:03.00	1	00:00:27.84	00:00:51.07	
	10	4	21	500	0.5	1.0	7851.788	00:04:28.00	3	00:00:45.74	00:01:07.66	
	10	4	21	300	1.0	0.33	7716.662	00:00:00.00	0	00:00:43.29	00:01:06.32	
	10	4	21	200	1.0	0.66	7563.375	00:00:00.00	0	00:00:31.10	00:00:52.79	
	10	4	21	300	0.5	0.66	7374.697	00:01:26.00	1	00:00:39.75	00:01:00.77	
	10	4	21	200	0.0	0.0	7808.504	00:00:00.00	0	00:00:51.90	00:01:13.72	
	10	4	21	500	1.0	1.0	9003.681	00:00:03.00	1	00:00:32.81	00:00:58.53	
	10	4	21	400	0.5	0.66	7374.697	00:01:26.00	1	00:00:37.23	00:00:54.21	
	10	4	21	200	1.0	0.33	7716.662	00:00:00.00	0	00:00:42.91	00:01:04.73	

DISTANCES
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	Greedy	
	10	4	21	100	0.5	0.66	7374.697	
	10	4	21	200	0.5	0.66	7374.697	
	10	4	21	500	0.5	0.66	7374.697	
	10	4	21	400	0.5	0.66	7374.697	
	10	4	21	300	0.5	0.66	7374.697	
	10	4	21	100	1.0	0.33	7716.662	
	10	4	21	200	1.0	0.33	7716.662	
	10	4	21	500	1.0	0.33	7716.662	
	10	4	21	400	1.0	0.33	7716.662	
	10	4	21	300	1.0	0.33	7716.662	
	10	4	21	100	0.5	0.33	8048.167	
	10	4	21	200	0.5	0.33	8048.167	
	10	4	21	500	0.5	0.33	8048.167	
	10	4	21	400	0.5	0.33	8048.167	
	10	4	21	300	0.5	0.33	8048.167	
	10	4	21	100	1.0	1.0	9003.681	
	10	4	21	200	1.0	1.0	9003.681	
	10	4	21	500	1.0	1.0	9003.681	
	10	4	21	400	1.0	1.0	9003.681	
	10	4	21	300	1.0	1.0	9003.681	
	10	4	21	100	0.5	1.0	7851.788	
	10	4	21	200	0.5	1.0	7851.788	
	10	4	21	500	0.5	1.0	7851.788	
	10	4	21	400	0.5	1.0	7851.788	
	10	4	21	300	0.5	1.0	7851.788	
	10	4	21	100	0.0	0.0	7808.504	
	10	4	21	200	0.0	0.0	7808.504	
	10	4	21	500	0.0	0.0	7808.504	
	10	4	21	400	0.0	0.0	7808.504	
	10	4	21	300	0.0	0.0	7808.504	
	10	4	21	100	1.0	0.66	7563.375	
	10	4	21	200	1.0	0.66	7563.375	
	10	4	21	500	1.0	0.66	7563.375	
	10	4	21	400	1.0	0.66	7563.375	
	10	4	21	300	1.0	0.66	7563.375	

AVG DISTANCES
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	Greedy	
	10	4	21		0.5	0.66	7374.697	
	10	4	21		1.0	0.33	7716.661999999999	
	10	4	21		0.5	0.33	8048.1669999999995	
	10	4	21		1.0	1.0	9003.681	
	10	4	21		0.5	1.0	7851.787999999999	
	10	4	21		0.0	0.0	7808.503999999999	
	10	4	21		1.0	0.66	7563.375	

OVERSPENT TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	Greedy	
	10	4	21	100	0.5	0.66	00:01:26.00	
	10	4	21	200	0.5	0.66	00:01:26.00	
	10	4	21	500	0.5	0.66	00:01:26.00	
	10	4	21	400	0.5	0.66	00:01:26.00	
	10	4	21	300	0.5	0.66	00:01:26.00	
	10	4	21	100	1.0	0.33	00:00:00.00	
	10	4	21	200	1.0	0.33	00:00:00.00	
	10	4	21	500	1.0	0.33	00:00:00.00	
	10	4	21	400	1.0	0.33	00:00:00.00	
	10	4	21	300	1.0	0.33	00:00:00.00	
	10	4	21	100	0.5	0.33	00:00:00.00	
	10	4	21	200	0.5	0.33	00:00:00.00	
	10	4	21	500	0.5	0.33	00:00:00.00	
	10	4	21	400	0.5	0.33	00:00:00.00	
	10	4	21	300	0.5	0.33	00:00:00.00	
	10	4	21	100	1.0	1.0	00:00:03.00	
	10	4	21	200	1.0	1.0	00:00:03.00	
	10	4	21	500	1.0	1.0	00:00:03.00	
	10	4	21	400	1.0	1.0	00:00:03.00	
	10	4	21	300	1.0	1.0	00:00:03.00	
	10	4	21	100	0.5	1.0	00:04:28.00	
	10	4	21	200	0.5	1.0	00:04:28.00	
	10	4	21	500	0.5	1.0	00:04:28.00	
	10	4	21	400	0.5	1.0	00:04:28.00	
	10	4	21	300	0.5	1.0	00:04:28.00	
	10	4	21	100	0.0	0.0	00:00:00.00	
	10	4	21	200	0.0	0.0	00:00:00.00	
	10	4	21	500	0.0	0.0	00:00:00.00	
	10	4	21	400	0.0	0.0	00:00:00.00	
	10	4	21	300	0.0	0.0	00:00:00.00	
