							ACO_F1=1_F2=5_Sync=100					ACO_F1=1_F2=5_Sync=1000					
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	
	10	4	33	100	0.0	0.0	11077.853	00:00:00.00	0	00:00:21.37	00:00:57.26	10920.661	00:00:00.00	0	00:22:09.91	00:22:46.82	
	10	3	33	100	0.0	0.0	10960.985	00:00:00.00	0	00:01:16.80	00:04:17.16	10960.985	00:00:00.00	0	00:13:36.84	00:14:15.72	
	10	4	33	100	0.5	1.0	11773.874	00:05:38.00	2	00:00:11.37	00:00:35.17	11773.874	00:05:38.00	2	00:10:00.53	00:10:24.33	
	10	4	33	100	0.5	0.33	10912.467	00:00:00.00	0	00:00:15.50	00:00:38.44	10955.184	00:00:00.00	0	00:11:49.30	00:12:17.76	
	10	4	33	100	1.0	0.33	10946.71	00:00:00.00	0	00:00:18.28	00:00:45.14	10955.184	00:00:00.00	0	00:06:20.06	00:06:47.68	
	10	3	33	100	1.0	1.0	13049.081	00:00:00.00	0	00:00:03.53	00:00:34.10	13049.081	00:00:00.00	0	00:00:03.92	00:00:34.01	
	10	3	33	100	0.5	1.0	11509.518	00:35:19.00	4	00:00:09.19	00:00:35.64	11315.627	00:33:06.00	4	00:03:48.62	00:04:10.89	
	10	4	33	100	0.5	0.66	11125.89	00:00:00.00	0	00:00:08.97	00:00:32.28	10918.551	00:00:00.00	0	00:04:37.30	00:05:04.68	
	10	3	33	100	1.0	0.66	10921.15	00:00:00.00	0	00:00:03.49	00:00:28.41	10921.15	00:00:00.00	0	00:00:09.13	00:00:35.53	
	10	4	33	100	1.0	0.66	10982.995	00:00:00.00	0	00:00:05.50	00:00:34.21	10982.995	00:00:00.00	0	00:00:18.58	00:00:39.55	
	10	3	33	100	1.0	0.33	10898.477	00:00:00.00	0	00:00:09.15	00:00:31.21	10898.477	00:00:00.00	0	00:05:09.65	00:05:36.03	
	10	3	33	100	0.5	0.33	10898.477	00:00:00.00	0	00:00:14.00	00:00:45.98	10898.477	00:00:00.00	0	00:08:31.60	00:08:56.81	
	10	3	33	100	0.5	0.66	10660.655	00:00:00.00	0	00:00:06.88	00:00:28.76	10660.655	00:00:00.00	0	00:02:54.68	00:03:16.28	
	10	4	33	100	1.0	1.0	13064.394	00:00:00.00	0	00:00:03.81	00:00:32.45	13064.394	00:00:00.00	0	00:00:04.45	00:00:32.60	

DISTANCES
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO_F1=1_F2=5_Sync=100	ACO_F1=1_F2=5_Sync=1000	ACO_F1=1_F2=5_Sync=100->ACO_F1=1_F2=5_Sync=1000	ACO_F1=1_F2=5_Sync=1000->ACO_F1=1_F2=5_Sync=100	
	10	4	33	100	1.0	1.0	13064.394	13064.394	0.0	0.0	
	10	3	33	100	0.5	0.33	10898.477	10898.477	0.0	0.0	
	10	4	33	100	0.5	1.0	11773.874	11773.874	0.0	0.0	
	10	3	33	100	1.0	0.66	10921.15	10921.15	0.0	0.0	
	10	3	33	100	1.0	1.0	13049.081	13049.081	0.0	0.0	
	10	3	33	100	0.0	0.0	10960.985	10960.985	0.0	0.0	
	10	4	33	100	1.0	0.33	10946.71	10955.184	0.07741138661753313	-0.07735150774281985	
	10	4	33	100	0.5	0.66	11125.89	10918.551	-1.8635722625336038	1.8989607686954062	
	10	3	33	100	0.5	0.66	10660.655	10660.655	0.0	0.0	
	10	4	33	100	0.0	0.0	11077.853	10920.661	-1.4189753194955657	1.4394000509676026	
	10	4	33	100	0.5	0.33	10912.467	10955.184	0.3914513555917166	-0.38992498893673294	
	10	3	33	100	0.5	1.0	11509.518	11315.627	-1.6846144208645368	1.7134799512214356	
	10	4	33	100	1.0	0.66	10982.995	10982.995	0.0	0.0	
	10	3	33	100	1.0	0.33	10898.477	10898.477	0.0	0.0	

AVG DISTANCES
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO_F1=1_F2=5_Sync=100	ACO_F1=1_F2=5_Sync=1000	ACO_F1=1_F2=5_Sync=100->ACO_F1=1_F2=5_Sync=1000	ACO_F1=1_F2=5_Sync=1000->ACO_F1=1_F2=5_Sync=100	
	10	4	33		1.0	1.0	13064.394	13064.394	0.0	0.0	
	10	3	33		0.5	0.33	10898.477	10898.477	0.0	0.0	
	10	4	33		0.5	1.0	11773.874	11773.874	0.0	0.0	
	10	3	33		1.0	0.66	10921.15	10921.15	0.0	0.0	
	10	3	33		1.0	1.0	13049.081	13049.081	0.0	0.0	
	10	3	33		0.0	0.0	10960.985	10960.985	0.0	0.0	
	10	4	33		1.0	0.33	10946.71	10955.184	0.07741138661753313	-0.07735150774281985	
	10	4	33		0.5	0.66	11125.89	10918.551	-1.8635722625336038	1.8989607686954062	
	10	3	33		0.5	0.66	10660.655	10660.655	0.0	0.0	
	10	4	33		0.0	0.0	11077.853	10920.661	-1.4189753194955657	1.4394000509676026	
	10	4	33		0.5	0.33	10912.467	10955.184	0.3914513555917166	-0.38992498893673294	
	10	3	33		0.5	1.0	11509.518	11315.627	-1.6846144208645368	1.7134799512214356	
	10	4	33		1.0	0.66	10982.995	10982.995	0.0	0.0	
	10	3	33		1.0	0.33	10898.477	10898.477	0.0	0.0	

OVERSPENT TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO_F1=1_F2=5_Sync=100	ACO_F1=1_F2=5_Sync=1000	ACO_F1=1_F2=5_Sync=100->ACO_F1=1_F2=5_Sync=1000	ACO_F1=1_F2=5_Sync=1000->ACO_F1=1_F2=5_Sync=100	
