							ACO_F1=1_F2=5_Sync=100					
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	
	10	2	21	100	0.5	1.0	6405.965	00:32:29.00	9	00:00:06.59	00:00:23.82	

DISTANCES
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO_F1=1_F2=5_Sync=100	
	10	2	21	100	0.5	1.0	6405.965	

AVG DISTANCES
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO_F1=1_F2=5_Sync=100	
	10	2	21		0.5	1.0	25623.86	

OVERSPENT TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO_F1=1_F2=5_Sync=100	
	10	2	21	100	0.5	1.0	00:32:29.00	

AVG OVERSPENT TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO_F1=1_F2=5_Sync=100	
	10	2	21		0.5	1.0	02:09:56.00	

TIME WINDOWS OVERRUN
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO_F1=1_F2=5_Sync=100	
	10	2	21	100	0.5	1.0	9	

AVG TIME WINDOWS OVERRUN
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO_F1=1_F2=5_Sync=100	
	10	2	21		0.5	1.0	36.0	

MISSION SCHEDULER COMPUTING TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO_F1=1_F2=5_Sync=100	
	10	2	21	100	0.5	1.0	00:00:06.59	

AVG MISSION SCHEDULER COMPUTING TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO_F1=1_F2=5_Sync=100	
	10	2	21		0.5	1.0	00:00:28.35	

OVERALL EXECUTION TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO_F1=1_F2=5_Sync=100	
	10	2	21	100	0.5	1.0	00:00:23.82	

AVG OVERALL EXECUTION TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO_F1=1_F2=5_Sync=100	
	10	2	21		0.5	1.0	00:01:39.30	
