							Linear					
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	
	10	4	21	100	0.5	0.33	8063.642	00:07:41.00	4	00:00:00.00	00:00:53.66	
	10	4	21	100	1.0	0.66	9030.074	00:00:00.00	0	00:00:00.00	00:00:55.24	
	10	4	21	300	0.0	0.0	8993.754	00:00:00.00	0	00:00:00.00	00:00:59.32	
	10	4	21	500	0.5	0.33	8063.642	00:07:41.00	4	00:00:00.00	00:00:50.22	
	10	4	21	500	1.0	0.66	9030.074	00:00:00.00	0	00:00:00.00	00:00:52.98	
	10	4	21	400	1.0	0.66	9030.074	00:00:00.00	0	00:00:00.00	00:03:30.10	
	10	4	21	100	0.5	1.0	8460.845	00:06:55.00	2	00:00:00.00	00:00:50.41	
	10	4	21	400	0.5	0.33	8063.642	00:07:41.00	4	00:00:00.00	00:00:51.08	
	10	4	21	300	0.5	0.33	8063.642	00:07:41.00	4	00:00:00.00	00:00:51.15	
	10	4	21	100	1.0	0.33	9030.074	00:00:00.00	0	00:00:00.00	00:00:45.04	
	10	4	21	200	0.5	0.66	8451.987	00:11:32.00	4	00:00:00.00	00:00:44.39	
	10	4	21	100	0.0	0.0	8993.754	00:00:00.00	0	00:00:00.00	00:02:55.35	
	10	4	21	200	0.5	1.0	8460.845	00:06:55.00	2	00:00:00.00	00:00:51.56	
	10	4	21	100	0.5	0.66	8451.987	00:11:32.00	4	00:00:00.00	00:00:51.10	
	10	4	21	400	0.5	1.0	8460.845	00:06:55.00	2	00:00:00.00	00:00:42.50	
	10	4	21	500	0.0	0.0	8993.754	00:00:00.00	0	00:00:00.00	00:00:45.50	
	10	4	21	300	1.0	0.66	9030.074	00:00:00.00	0	00:00:00.00	00:00:52.43	
	10	4	21	300	0.5	1.0	8460.845	00:06:55.00	2	00:00:00.00	00:00:43.01	
	10	4	21	500	0.5	0.66	8451.987	00:11:32.00	4	00:00:00.00	00:00:51.16	
	10	4	21	500	1.0	0.33	9030.074	00:00:00.00	0	00:00:00.00	00:00:46.54	
	10	4	21	200	1.0	1.0	9030.074	00:00:04.00	1	00:00:00.00	00:00:51.83	
	10	4	21	200	0.5	0.33	8063.642	00:07:41.00	4	00:00:00.00	00:00:49.27	
	10	4	21	400	1.0	0.33	9030.074	00:00:00.00	0	00:00:00.00	00:00:55.25	
	10	4	21	400	0.0	0.0	8993.754	00:00:00.00	0	00:00:00.00	00:03:40.81	
	10	4	21	300	1.0	1.0	9030.074	00:00:04.00	1	00:00:00.00	00:00:49.89	
	10	4	21	100	1.0	1.0	9030.074	00:00:04.00	1	00:00:00.00	00:00:53.34	
	10	4	21	400	1.0	1.0	9030.074	00:00:04.00	1	00:00:00.00	00:00:50.31	
	10	4	21	500	0.5	1.0	8460.845	00:06:55.00	2	00:00:00.00	00:00:50.48	
	10	4	21	300	1.0	0.33	9030.074	00:00:00.00	0	00:00:00.00	00:00:54.15	
	10	4	21	200	1.0	0.66	9030.074	00:00:00.00	0	00:00:00.00	00:00:45.69	
	10	4	21	300	0.5	0.66	8451.987	00:11:32.00	4	00:00:00.00	00:00:45.59	
	10	4	21	200	0.0	0.0	8993.754	00:00:00.00	0	00:00:00.00	00:00:57.53	
	10	4	21	500	1.0	1.0	9030.074	00:00:04.00	1	00:00:00.00	00:00:50.51	
	10	4	21	400	0.5	0.66	8451.987	00:11:32.00	4	00:00:00.00	00:00:49.62	
	10	4	21	200	1.0	0.33	9030.074	00:00:00.00	0	00:00:00.00	00:00:45.96	

DISTANCES
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	Linear	
	10	4	21	100	0.5	0.66	8451.987	
	10	4	21	200	0.5	0.66	8451.987	
	10	4	21	500	0.5	0.66	8451.987	
	10	4	21	400	0.5	0.66	8451.987	
	10	4	21	300	0.5	0.66	8451.987	
	10	4	21	100	1.0	0.33	9030.074	
	10	4	21	200	1.0	0.33	9030.074	
	10	4	21	500	1.0	0.33	9030.074	
	10	4	21	400	1.0	0.33	9030.074	
	10	4	21	300	1.0	0.33	9030.074	
	10	4	21	100	0.5	0.33	8063.642	
	10	4	21	200	0.5	0.33	8063.642	
	10	4	21	500	0.5	0.33	8063.642	
	10	4	21	400	0.5	0.33	8063.642	
	10	4	21	300	0.5	0.33	8063.642	
	10	4	21	100	1.0	1.0	9030.074	
	10	4	21	200	1.0	1.0	9030.074	
	10	4	21	500	1.0	1.0	9030.074	
	10	4	21	400	1.0	1.0	9030.074	
	10	4	21	300	1.0	1.0	9030.074	
	10	4	21	100	0.5	1.0	8460.845	
	10	4	21	200	0.5	1.0	8460.845	
	10	4	21	500	0.5	1.0	8460.845	
	10	4	21	400	0.5	1.0	8460.845	
	10	4	21	300	0.5	1.0	8460.845	
	10	4	21	100	0.0	0.0	8993.754	
	10	4	21	200	0.0	0.0	8993.754	
	10	4	21	500	0.0	0.0	8993.754	
	10	4	21	400	0.0	0.0	8993.754	
	10	4	21	300	0.0	0.0	8993.754	
	10	4	21	100	1.0	0.66	9030.074	
	10	4	21	200	1.0	0.66	9030.074	
	10	4	21	500	1.0	0.66	9030.074	
	10	4	21	400	1.0	0.66	9030.074	
	10	4	21	300	1.0	0.66	9030.074	

AVG DISTANCES
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	Linear	
	10	4	21		0.5	0.66	8451.987	
	10	4	21		1.0	0.33	9030.074	
	10	4	21		0.5	0.33	8063.642	
	10	4	21		1.0	1.0	9030.074	
	10	4	21		0.5	1.0	8460.845	
	10	4	21		0.0	0.0	8993.754	
	10	4	21		1.0	0.66	9030.074	

OVERSPENT TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	Linear	
	10	4	21	100	0.5	0.66	00:11:32.00	
	10	4	21	200	0.5	0.66	00:11:32.00	
	10	4	21	500	0.5	0.66	00:11:32.00	
	10	4	21	400	0.5	0.66	00:11:32.00	
	10	4	21	300	0.5	0.66	00:11:32.00	
	10	4	21	100	1.0	0.33	00:00:00.00	
	10	4	21	200	1.0	0.33	00:00:00.00	
	10	4	21	500	1.0	0.33	00:00:00.00	
	10	4	21	400	1.0	0.33	00:00:00.00	
	10	4	21	300	1.0	0.33	00:00:00.00	
	10	4	21	100	0.5	0.33	00:07:41.00	
	10	4	21	200	0.5	0.33	00:07:41.00	
	10	4	21	500	0.5	0.33	00:07:41.00	
	10	4	21	400	0.5	0.33	00:07:41.00	
	10	4	21	300	0.5	0.33	00:07:41.00	
	10	4	21	100	1.0	1.0	00:00:04.00	
	10	4	21	200	1.0	1.0	00:00:04.00	
	10	4	21	500	1.0	1.0	00:00:04.00	
	10	4	21	400	1.0	1.0	00:00:04.00	
	10	4	21	300	1.0	1.0	00:00:04.00	
	10	4	21	100	0.5	1.0	00:06:55.00	
	10	4	21	200	0.5	1.0	00:06:55.00	
	10	4	21	500	0.5	1.0	00:06:55.00	
	10	4	21	400	0.5	1.0	00:06:55.00	
	10	4	21	300	0.5	1.0	00:06:55.00	
	10	4	21	100	0.0	0.0	00:00:00.00	
	10	4	21	200	0.0	0.0	00:00:00.00	
	10	4	21	500	0.0	0.0	00:00:00.00	
	10	4	21	400	0.0	0.0	00:00:00.00	
	10	4	21	300	0.0	0.0	00:00:00.00	
