							ACO_F1=1_F2=50_Sync=100					ACO_F1=1_F2=50_Sync=1000					ACO_F1=1_F2=5_Sync=100					ACO_F1=1_F2=5_Sync=1000					ACO_F1=50_F2=1_Sync=100					ACO_F1=50_F2=1_Sync=1000					ACO_F1=5_F2=1_Sync=100					ACO_F1=5_F2=1_Sync=1000					ACO_F1=F2=1_Sync=100					ACO_F1=F2=1_Sync=1000					
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	
	10	4	42	400	1.0	1.0	14159.407	00:00:02.00	1	00:00:03.73	00:00:32.68	14159.407	00:00:02.00	1	00:00:04.86	00:00:35.12	14159.407	00:00:02.00	1	00:00:03.79	00:00:32.77	14159.407	00:00:02.00	1	00:00:04.75	00:00:35.00	13246.598	00:01:23.00	2	00:00:03.60	00:00:30.61	13246.598	00:01:23.00	2	00:00:05.01	00:00:34.11	13669.539	00:00:02.00	1	00:00:03.68	00:00:31.92	13246.598	00:01:23.00	2	00:00:03.55	00:00:30.31	14159.407	00:00:02.00	1	00:00:03.64	00:00:32.49	14159.407	00:00:02.00	1	00:00:04.36	00:00:32.84	
	10	3	42	500	0.5	0.33	13055.607	00:01:38.00	2	00:00:15.67	00:00:44.56	12854.429	00:01:02.00	2	00:06:56.07	00:07:20.32	13574.158	00:00:00.00	0	00:00:17.68	00:00:45.18	13328.813	00:00:00.00	0	00:07:59.89	00:08:24.43	11805.191	00:09:13.00	2	00:00:21.54	00:00:48.71	12243.183	00:00:16.00	1	00:12:40.88	00:13:03.90	12224.32	00:00:16.00	1	00:00:16.07	00:00:41.46	11805.191	00:09:13.00	2	00:00:21.60	00:00:48.57	13574.158	00:00:00.00	0	00:00:18.61	00:00:47.62	13328.813	00:00:00.00	0	00:08:00.13	00:08:23.98	
	10	4	42	200	1.0	0.33	13575.172	00:00:00.00	0	00:00:19.64	00:00:50.54	13151.737	00:00:00.00	0	00:10:04.13	00:10:28.08	13528.469	00:00:00.00	0	00:00:17.25	00:00:46.73	13553.852	00:00:00.00	0	00:12:23.39	00:12:48.71	11868.052	00:09:13.00	2	00:00:24.31	00:00:51.26	13089.284	00:00:16.00	1	00:17:02.63	00:17:27.58	13196.429	00:00:00.00	0	00:00:18.37	00:00:42.68	11868.052	00:09:13.00	2	00:00:24.15	00:00:51.42	13528.469	00:00:00.00	0	00:00:17.99	00:00:48.48	13553.852	00:00:00.00	0	00:12:21.02	00:12:45.83	
	10	4	42	400	0.0	0.0	13587.584	00:00:00.00	0	00:00:27.80	00:00:55.49	13151.737	00:00:00.00	0	00:35:56.53	00:36:21.47	13757.995	00:00:00.00	0	00:00:40.81	00:01:11.73	13527.923	00:00:00.00	0	00:32:50.77	00:33:14.90	13006.292	00:00:16.00	1	00:00:34.82	00:01:04.60	11846.742	00:09:13.00	2	00:50:17.30	00:50:39.85	12997.187	00:00:00.00	0	00:00:28.97	00:00:58.41	13006.292	00:00:16.00	1	00:00:30.10	00:00:54.39	13757.995	00:00:00.00	0	00:00:40.63	00:01:10.91	13527.923	00:00:00.00	0	00:32:46.94	00:33:12.02	
	10	3	42	400	1.0	0.66	13211.075	00:01:02.00	2	00:00:05.87	00:00:34.94	13211.075	00:01:02.00	2	00:00:40.14	00:01:06.16	13650.334	00:00:00.00	0	00:00:06.23	00:00:37.34	13650.334	00:00:00.00	0	00:00:49.59	00:01:16.49	13012.944	00:00:00.00	0	00:00:08.06	00:00:36.62	12329.672	00:09:04.00	2	00:05:16.61	00:05:40.44	13027.016	00:00:00.00	0	00:00:06.50	00:00:34.93	13012.944	00:00:00.00	0	00:00:08.23	00:00:37.84	13650.334	00:00:00.00	0	00:00:05.93	00:00:35.88	13650.334	00:00:00.00	0	00:00:54.05	00:01:22.61	
	10	3	42	400	0.5	0.66	12997.285	00:07:17.00	3	00:00:11.28	00:00:39.68	12931.25	00:01:02.00	2	00:02:52.12	00:03:21.53	13386.107	00:00:00.00	0	00:00:12.54	00:00:41.95	13399.793	00:00:00.00	0	00:03:13.22	00:03:38.30	11741.42	00:09:13.00	2	00:00:16.63	00:00:43.64	11930.889	00:09:13.00	2	00:07:18.45	00:07:40.89	12774.897	00:00:00.00	0	00:00:12.99	00:00:40.72	11741.42	00:09:13.00	2	00:00:15.86	00:00:42.19	13386.107	00:00:00.00	0	00:00:12.42	00:00:41.65	13399.793	00:00:00.00	0	00:03:13.42	00:03:38.11	
	10	2	42	500	1.0	0.33	13321.932	00:31:02.00	6	00:00:10.54	00:00:38.44	13076.637	00:25:48.00	8	00:04:40.78	00:05:09.42	12320.812	00:15:23.00	4	00:00:11.17	00:00:37.28	12311.425	00:15:23.00	4	00:04:41.56	00:05:03.18	11602.793	00:14:03.00	4	00:00:12.85	00:00:37.24	11712.738	00:14:03.00	4	00:06:41.61	00:07:03.55	11539.638	00:18:29.00	4	00:00:12.60	00:00:35.46	11602.793	00:14:03.00	4	00:00:14.18	00:00:40.40	12320.812	00:15:23.00	4	00:00:11.13	00:00:37.02	12311.425	00:15:23.00	4	00:04:51.29	00:05:13.59	
	10	2	42	500	0.5	0.33	12905.583	00:32:13.00	7	00:00:11.98	00:00:39.18	12905.583	00:32:13.00	7	00:05:47.11	00:06:09.88	12691.871	00:16:27.00	5	00:00:11.34	00:00:38.35	12228.055	00:15:23.00	4	00:04:52.24	00:05:18.26	11565.494	00:18:29.00	4	00:00:13.88	00:00:39.42	11629.368	00:14:03.00	4	00:07:34.83	00:07:55.88	11629.368	00:14:03.00	4	00:00:13.00	00:00:38.67	11565.494	00:18:29.00	4	00:00:13.70	00:00:39.23	12691.871	00:16:27.00	5	00:00:11.89	00:00:39.87	12228.055	00:15:23.00	4	00:04:51.37	00:05:16.97	
	10	3	42	100	1.0	0.66	13236.221	00:01:04.00	2	00:00:04.73	00:00:29.13	13211.075	00:01:02.00	2	00:00:40.65	00:01:06.75	13704.964	00:00:00.00	0	00:00:04.76	00:00:30.18	13704.964	00:00:00.00	0	00:00:43.33	00:01:12.51	13020.538	00:00:00.00	0	00:00:06.74	00:00:35.23	13020.538	00:00:00.00	0	00:01:50.84	00:02:19.12	13027.016	00:00:00.00	0	00:00:05.86	00:00:32.39	13020.538	00:00:00.00	0	00:00:06.59	00:00:35.00	13704.964	00:00:00.00	0	00:00:05.98	00:00:36.27	13704.964	00:00:00.00	0	00:00:42.97	00:01:12.33	
	10	2	42	200	0.5	0.33	13219.75	00:31:02.00	6	00:00:09.38	00:00:36.58	12905.583	00:32:13.00	7	00:05:45.98	00:06:08.57	12228.055	00:15:23.00	4	00:00:10.48	00:00:36.15	12228.055	00:15:23.00	4	00:05:05.23	00:05:27.63	11629.368	00:14:03.00	4	00:00:12.62	00:00:37.57	11629.368	00:14:03.00	4	00:07:38.95	00:08:00.39	11629.368	00:14:05.00	4	00:00:12.39	00:00:36.72	11629.368	00:14:03.00	4	00:00:11.97	00:00:35.91	12228.055	00:15:23.00	4	00:00:10.00	00:00:34.87	12228.055	00:15:23.00	4	00:05:04.57	00:05:28.83	
	10	2	42	300	0.5	0.33	13219.75	00:31:02.00	6	00:00:09.38	00:00:36.60	12905.583	00:32:13.00	7	00:05:43.82	00:06:10.26	12773.187	00:16:27.00	5	00:00:11.75	00:00:39.44	12228.055	00:15:23.00	4	00:05:05.46	00:05:31.23	11565.494	00:18:29.00	4	00:00:13.77	00:00:39.32	11629.368	00:14:03.00	4	00:07:33.63	00:07:54.94	11629.368	00:14:05.00	4	00:00:11.59	00:00:34.68	11565.494	00:18:29.00	4	00:00:13.45	00:00:38.67	12773.187	00:16:27.00	5	00:00:11.77	00:00:39.62	12228.055	00:15:23.00	4	00:05:03.15	00:05:29.86	
	10	3	42	300	0.0	0.0	13190.777	00:02:17.00	3	00:00:24.94	00:00:53.67	12974.849	00:01:31.00	2	00:23:17.26	00:23:41.11	12786.852	00:00:00.00	0	00:00:20.55	00:00:45.90	13516.243	00:00:00.00	0	00:33:36.07	00:34:00.70	12204.388	00:00:16.00	1	00:00:22.21	00:00:49.36	11803.592	00:09:13.00	2	00:33:32.92	00:33:54.90	12367.301	00:01:03.00	1	00:00:23.06	00:00:50.65	12204.388	00:00:16.00	1	00:00:21.76	00:00:49.05	12786.852	00:00:00.00	0	00:00:21.34	00:00:47.68	13516.243	00:00:00.00	0	00:34:07.63	00:34:32.35	
