							Greedy					
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	
	10	4	42	400	1.0	1.0	13638.895	00:00:00.00	0	00:00:26.61	00:00:55.93	
	10	3	42	500	0.5	0.33	11952.2	00:06:29.00	2	00:00:42.39	00:01:08.25	
	10	4	42	200	1.0	0.33	13277.948	00:00:00.00	0	00:00:37.36	00:01:07.80	
	10	4	42	400	0.0	0.0	12569.508	00:00:00.00	0	00:00:53.41	00:01:21.13	
	10	3	42	400	1.0	0.66	12942.247	00:00:00.00	0	00:00:33.44	00:01:03.78	
	10	3	42	400	0.5	0.66	12009.718	00:19:15.00	6	00:00:40.32	00:01:05.82	
	10	2	42	500	1.0	0.33	12614.472	00:09:06.00	4	00:00:39.10	00:01:05.99	
	10	2	42	500	0.5	0.33	12723.649	00:14:39.00	4	00:00:44.95	00:01:11.83	
	10	3	42	100	1.0	0.66	12942.247	00:00:00.00	0	00:00:32.85	00:01:03.82	
	10	2	42	200	0.5	0.33	12723.649	00:14:39.00	4	00:00:45.49	00:01:12.82	
	10	2	42	300	0.5	0.33	12723.649	00:14:39.00	4	00:00:45.58	00:01:12.80	
	10	3	42	300	0.0	0.0	12053.166	00:00:48.00	1	00:01:00.06	00:01:28.24	
	10	4	42	300	0.5	0.66	12724.045	00:00:00.00	0	00:00:40.80	00:01:09.03	
	10	2	42	500	1.0	0.66	12305.542	00:09:01.00	4	00:00:34.80	00:01:03.43	
	10	3	42	300	1.0	0.33	13252.319	00:00:00.00	0	00:00:38.24	00:01:08.35	
	10	4	42	300	1.0	0.33	13277.948	00:00:00.00	0	00:00:37.52	00:01:08.04	
	10	3	42	500	1.0	1.0	13595.647	00:00:46.00	3	00:00:22.92	00:00:51.58	
	10	4	42	200	1.0	0.66	12731.424	00:00:00.00	0	00:00:35.54	00:01:06.12	
	10	3	42	200	1.0	0.33	13252.319	00:00:00.00	0	00:00:37.99	00:01:08.43	
	10	4	42	300	1.0	1.0	13638.895	00:00:00.00	0	00:00:29.57	00:01:01.17	
	10	3	42	200	0.5	0.66	12009.718	00:19:15.00	6	00:00:41.46	00:01:07.39	
	10	2	42	100	0.5	1.0	12455.383	00:24:02.00	8	00:00:40.34	00:01:06.72	
	10	4	42	300	1.0	0.66	12731.424	00:00:00.00	0	00:00:34.34	00:01:04.85	
	10	4	42	200	0.5	1.0	12884.469	00:08:00.00	3	00:00:38.32	00:01:07.10	
	10	4	42	100	0.5	0.66	12724.045	00:00:00.00	0	00:00:40.41	00:01:08.46	
	10	2	42	200	0.5	0.66	12614.08	00:57:07.00	11	00:00:53.07	00:01:21.18	
	10	3	42	100	0.0	0.0	12053.166	00:00:48.00	1	00:00:56.00	00:01:23.27	
	10	4	42	500	1.0	1.0	13638.895	00:00:00.00	0	00:00:26.90	00:00:56.24	
	10	2	42	200	0.0	0.0	12071.177	00:11:37.00	4	00:01:02.65	00:01:29.19	
	10	4	42	100	0.0	0.0	12569.508	00:00:00.00	0	00:00:53.56	00:01:21.48	
	10	3	42	400	0.0	0.0	12053.166	00:00:48.00	1	00:00:52.85	00:01:19.02	
	10	2	42	100	0.0	0.0	12071.177	00:11:37.00	4	00:04:19.93	00:05:36.01	
	10	2	42	100	1.0	1.0	12895.968	00:15:20.00	8	00:00:26.06	00:00:54.62	
	10	4	42	200	1.0	1.0	13638.895	00:00:00.00	0	00:00:28.69	00:00:59.61	
	10	2	42	300	0.5	1.0	12455.383	00:24:02.00	8	00:00:39.49	00:01:05.23	
	10	2	42	300	0.5	0.66	12614.08	00:57:07.00	11	00:00:46.61	00:01:12.90	
	10	2	42	500	1.0	1.0	12895.968	00:15:20.00	8	00:00:27.81	00:00:57.87	
	10	4	42	500	0.5	0.66	12724.045	00:00:00.00	0	00:00:39.76	00:01:07.55	
	10	3	42	400	0.5	0.33	11952.2	00:06:29.00	2	00:00:48.72	00:01:17.09	
	10	2	42	500	0.5	0.66	12614.08	00:57:07.00	11	00:00:56.43	00:01:25.89	
	10	4	42	100	1.0	1.0	13638.895	00:00:00.00	0	00:00:32.07	00:01:05.73	
	10	4	42	400	1.0	0.33	13277.948	00:00:00.00	0	00:00:39.51	00:01:10.96	
	10	2	42	400	1.0	0.33	12614.472	00:09:06.00	4	00:00:44.05	00:01:13.28	
	10	3	42	500	1.0	0.66	12942.247	00:00:00.00	0	00:00:33.84	00:01:04.26	
	10	4	42	100	1.0	0.66	12731.424	00:00:00.00	0	00:00:36.55	00:01:07.12	
	10	2	42	200	0.5	1.0	12455.383	00:24:02.00	8	00:00:40.53	00:01:07.00	
	10	2	42	300	1.0	0.33	12614.472	00:09:06.00	4	00:00:39.52	00:01:06.86	
	10	3	42	500	1.0	0.33	13252.319	00:00:00.00	0	00:00:36.12	00:01:05.12	
	10	3	42	200	1.0	1.0	13595.647	00:00:46.00	3	00:00:22.90	00:00:45.70	
	10	4	42	500	0.5	0.33	12170.424	00:00:00.00	0	00:00:42.88	00:01:05.36	
	10	3	42	100	1.0	0.33	13252.319	00:00:00.00	0	00:00:37.36	00:01:07.05	
	10	3	42	300	0.5	1.0	12297.007	00:07:57.00	3	00:00:36.54	00:01:02.69	
	10	4	42	200	0.5	0.33	12170.424	00:00:00.00	0	00:00:41.91	00:01:08.94	
