#Algo	0 – 0	0.5 – 0.33	0.5 – 0.66	0.5 – 1.0	1.0 – 0.33	1.0 – 0.66	1.0 – 1.0	0 – 0	0.5 – 0.33	0.5 – 0.66	0.5 – 1.0	1.0 – 0.33	1.0 – 0.66	1.0 – 1.0	0 – 0	0.5 – 0.33	0.5 – 0.66	0.5 – 1.0	1.0 – 0.33	1.0 – 0.66	1.0 – 1.0	0 – 0	0.5 – 0.33	0.5 – 0.66	0.5 – 1.0	1.0 – 0.33	1.0 – 0.66	1.0 – 1.0	0 – 0	0.5 – 0.33	0.5 – 0.66	0.5 – 1.0	1.0 – 0.33	1.0 – 0.66	1.0 – 1.0
"AVG ACO_{0,1}"	00:13:30.87	00:05:53.98	00:02:00.39	00:00:47.00	00:06:04.46	00:00:25.74	00:00:03.36	00:13:54.19	00:06:15.15	00:02:24.11	00:01:11.62	00:06:27.80	00:00:49.54	00:00:30.88	11483.50	11024.76	11233.99	11517.97	11269.03	11698.97	13049.08	00:34:49.50	00:18:07.00	00:04:00.00	00:21:18.00	00:56:18.50	00:03:58.00	00:00:00.00	8	5	1	8	8	1	0
"AVG ACO_{1,0}"	00:05:27.81	00:04:19.22	00:01:19.11	00:00:22.17	00:03:02.10	00:00:10.11	00:00:03.39	00:05:52.45	00:04:43.73	00:01:42.68	00:00:47.35	00:03:25.55	00:00:33.65	00:00:28.40	10565.97	10527.65	10499.62	11174.94	10450.32	10353.53	11736.26	00:06:22.00	00:06:25.00	00:08:47.00	00:05:42.00	00:02:36.50	00:02:19.00	00:02:19.00	3	3	4	4	2.5	2	2
"AVG ACO_{1,1}"	00:06:17.85	00:04:02.13	00:01:24.42	00:00:19.55	00:02:25.82	00:00:06.11	00:00:03.40	00:06:43.04	00:04:26.19	00:01:48.12	00:00:45.68	00:02:50.54	00:00:30.19	00:00:30.69	10943.84	10903.18	10923.47	12092.62	10898.48	10921.15	13049.08	00:00:00.00	00:00:00.00	00:05:51.00	00:05:20.00	00:00:00.00	00:00:00.00	00:00:00.00	0	0	2	4	0	0	0
"AVG ACO_{1,5}"	00:07:26.82	00:04:22.80	00:01:30.78	00:01:58.91	00:02:39.40	00:00:06.31	00:00:03.73	00:09:16.44	00:04:51.40	00:01:52.52	00:02:23.27	00:03:03.62	00:00:31.97	00:00:34.06	10960.99	10898.48	10660.66	11412.57	10898.48	10921.15	13049.08	00:00:00.00	00:00:00.00	00:00:00.00	00:34:12.50	00:00:00.00	00:00:00.00	00:00:00.00	0	0	0	4	0	0	0
"AVG ACO_{1,50}"	00:06:19.55	00:04:03.92	00:01:24.57	00:00:19.75	00:02:29.00	00:00:06.30	00:00:03.51	00:06:42.71	00:04:27.34	00:01:47.80	00:00:46.63	00:02:51.85	00:00:31.51	00:00:31.47	10943.84	10898.48	10781.38	12092.62	10898.48	10921.15	13049.08	00:00:00.00	00:00:00.00	00:06:22.00	00:05:20.00	00:00:00.00	00:00:00.00	00:00:00.00	0	0	2	4	0	0	0
"AVG ACO_{5,1}"	00:00:11.47	00:00:14.75	00:00:08.77	00:00:05.28	00:00:12.91	00:00:04.40	00:00:03.02	00:00:33.88	00:00:37.36	00:00:31.96	00:00:30.87	00:00:35.85	00:00:28.90	00:00:28.46	10633.50	10320.63	10503.31	11156.43	10601.45	10345.87	11736.26	00:02:46.00	00:02:15.00	00:11:53.00	00:05:39.00	00:02:56.50	00:02:19.00	00:02:19.00	3	2	4	4	3	2	2
"AVG ACO_{50,1}"	00:06:58.52	00:05:30.35	00:01:30.88	00:00:22.00	00:03:04.61	00:00:11.94	00:00:03.37	00:07:21.24	00:05:52.85	00:01:53.04	00:00:45.00	00:03:27.84	00:00:36.18	00:00:28.61	10618.11	10461.67	10499.62	11150.87	10454.07	10485.63	11736.26	00:02:51.50	00:02:36.00	00:08:47.00	00:05:38.00	00:02:38.00	00:02:38.00	00:02:19.00	3	2.5	4	4	2.5	2.5	2
"Greedy"	00:01:07.18	00:00:42.18	00:00:49.65	00:00:33.10	00:00:38.59	00:00:27.83	00:00:28.18	00:01:34.50	00:01:05.05	00:01:15.48	00:00:59.10	00:01:04.34	00:00:53.85	00:00:57.20	10618.999	11401.969	10248.467	11410.716	10933.047	11501.365	12971.684	00:00:00.00	00:00:00.00	00:05:41.00	00:05:53.00	00:00:00.00	00:00:00.00	00:00:00.00	0	0	4	6	0	0	0
"Linear"	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:26.71	00:00:26.76	00:00:31.60	00:00:30.35	00:00:31.03	00:00:26.51	00:00:29.57	12607.272	12841.168	12607.92	12628.42	12605.23	12605.23	12912.316	00:00:00.00	00:12:00.00	00:00:05.00	00:03:19.00	00:00:00.00	00:00:00.00	00:00:33.00	0	2	1	3	0	0	1
#"Branch & Bound"	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	0	0	0	0	0	0	0	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	0	0	0	0	0	0	0



