#Algo	Distance M=2	Distance M=3	Distance M=4	O_T M=2	O_T M=3	O_T M=4
"AVG ACO_{0,1}"	12863.786	12896.978	12922.909	00:08:48.00	00:04:42.00	00:21:14.00
"AVG ACO_{1,0}"	11946.834	12272.2765	12932.8095	00:10:30.00	00:00:16.00	00:00:16.00
"AVG ACO_{1,1}"	12361.3321	13344.6497	13386.7463	00:15:16.30	00:00:00.00	00:00:00.00
"AVG ACO_{1,5}"	13159.7615	12931.139	13674.826	00:31:38.50	00:00:52.50	00:00:00.00
"AVG ACO_{1,50}"	13118.0007	13008.0655	13437.3167	00:29:44.00	00:01:16.70	00:00:00.00
"AVG ACO_{5,1}"	11765.1766	12399.4431	12535.393	00:13:34.10	00:01:13.90	00:03:41.00
"AVG ACO_{50,1}"	12095.6222	12834.6832	12936.6541	00:15:30.10	00:00:56.90	00:01:58.50
"Greedy"	12071.177	12053.166	12569.508	00:11:37.00	00:00:48.00	00:00:00.00
"Linear"	13572.761	14106.123	14388.683	00:08:14.00	00:00:00.00	00:00:00.00
"Branch & Bound"	11756.908	11508.851	11504.5	00:07:26.00	00:00:00.00	00:00:00.00
