							ACO_F1=1_F2=5_Sync=100					ACO_F1=1_F2=5_Sync=1000					
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	
	10	2	33	100	0.5	1.0	10426.838	00:10:31.00	6	00:00:10.06	00:00:45.49	10123.084	00:08:40.00	4	00:02:53.36	00:03:34.21	
	10	2	33	200	0.5	0.33	10765.259	00:20:55.00	8	00:00:15.53	00:00:54.56	11128.888	00:20:29.00	8	00:05:45.00	00:06:27.59	
	10	2	33	200	0.5	0.66	10875.657	00:23:06.00	7	00:00:11.92	00:00:52.06	10413.895	00:17:21.00	6	00:02:39.26	00:03:20.76	
	10	2	33	200	0.5	1.0	10426.838	00:10:31.00	6	00:00:11.43	00:00:49.48	10301.013	00:08:40.00	4	00:03:04.10	00:03:43.03	
	10	2	33	200	1.0	1.0	11037.977	00:09:30.00	5	00:00:02.67	00:00:39.21	11037.977	00:09:30.00	5	00:00:03.98	00:00:42.55	
	10	2	33	100	1.0	1.0	11037.977	00:09:30.00	5	00:00:03.09	00:00:43.98	11037.977	00:09:30.00	5	00:00:04.09	00:00:45.44	
	10	2	33	100	0.5	0.66	10875.657	00:23:06.00	7	00:00:10.68	00:00:49.08	10161.141	00:08:37.00	4	00:02:37.57	00:03:16.81	
	10	2	33	200	1.0	0.66	10055.832	00:08:40.00	4	00:00:05.86	00:00:45.12	10055.832	00:08:40.00	4	00:00:45.41	00:01:21.30	
	10	2	33	100	0.5	0.33	10746.242	00:20:33.00	8	00:00:13.33	00:00:49.90	11123.616	00:20:33.00	8	00:05:50.47	00:06:35.42	
	10	2	33	100	0.0	0.0	10633.452	00:17:01.00	6	00:01:31.74	00:04:22.28	10123.084	00:08:40.00	4	00:08:13.33	00:08:52.84	
	10	2	33	100	1.0	0.66	10055.832	00:08:40.00	4	00:00:04.56	00:00:38.09	9877.903	00:08:40.00	4	00:00:31.82	00:01:07.23	
	10	2	33	100	1.0	0.33	10601.513	00:17:09.00	6	00:00:12.09	00:00:52.22	10413.895	00:17:21.00	6	00:04:45.61	00:05:27.10	
	10	2	33	200	1.0	0.33	10601.513	00:17:09.00	6	00:00:12.79	00:00:51.49	10123.084	00:08:40.00	4	00:04:56.85	00:05:33.34	
	10	2	33	200	0.0	0.0	10633.452	00:17:01.00	6	00:00:14.20	00:00:55.23	10301.013	00:08:40.00	4	00:08:38.71	00:09:13.09	

DISTANCES
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO_F1=1_F2=5_Sync=100	ACO_F1=1_F2=5_Sync=1000	ACO_F1=1_F2=5_Sync=100->ACO_F1=1_F2=5_Sync=1000	ACO_F1=1_F2=5_Sync=1000->ACO_F1=1_F2=5_Sync=100	
	10	2	33	100	0.5	1.0	10426.838	10123.084	-2.9131938177230623	3.0006073248033798	
	10	2	33	200	0.5	1.0	10426.838	10301.013	-1.2067416795005246	1.22148180960454	
	10	2	33	100	1.0	0.33	10601.513	10413.895	-1.7697285283713786	1.801612172966987	
	10	2	33	200	1.0	0.33	10601.513	10123.084	-4.512836988456271	4.726119036451737	
	10	2	33	100	0.5	0.33	10746.242	11123.616	3.5116834331480695	-3.392547890901662	
	10	2	33	200	0.5	0.33	10765.259	11128.888	3.377800757046354	-3.2674333680058667	
	10	2	33	100	1.0	0.66	10055.832	9877.903	-1.769411024368745	1.8012831265907359	
	10	2	33	200	1.0	0.66	10055.832	10055.832	0.0	0.0	
	10	2	33	100	0.5	0.66	10875.657	10161.141	-6.569865158491112	7.0318480965867876	
	10	2	33	200	0.5	0.66	10875.657	10413.895	-4.24583084957533	4.434095024003976	
	10	2	33	100	1.0	1.0	11037.977	11037.977	0.0	0.0	
	10	2	33	200	1.0	1.0	11037.977	11037.977	0.0	0.0	
	10	2	33	100	0.0	0.0	10633.452	10123.084	-4.799645496119216	5.041625654790561	
	10	2	33	200	0.0	0.0	10633.452	10301.013	-3.1263506902556055	3.2272457087472706	

AVG DISTANCES
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO_F1=1_F2=5_Sync=100	ACO_F1=1_F2=5_Sync=1000	ACO_F1=1_F2=5_Sync=100->ACO_F1=1_F2=5_Sync=1000	ACO_F1=1_F2=5_Sync=1000->ACO_F1=1_F2=5_Sync=100	
	10	2	33		0.5	1.0	10426.838	10212.0485	-2.0599677486117933	2.1032949461608896	
	10	2	33		1.0	0.33	10601.513	10268.4895	-3.1412827584138334	3.243159570840494	
	10	2	33		0.5	0.33	10755.7505	11126.252	3.4446829163618133	-3.3299758085651874	
	10	2	33		1.0	0.66	10055.832	9966.8675	-0.8847055121843725	0.8926024149513379	
	10	2	33		0.5	0.66	10875.657	10287.518	-5.40784800403322	5.7170155133628855	
	10	2	33		1.0	1.0	11037.977	11037.977	0.0	0.0	
	10	2	33		0.0	0.0	10633.452	10212.0485	-3.96299809318741	4.126532497373064	

OVERSPENT TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO_F1=1_F2=5_Sync=100	ACO_F1=1_F2=5_Sync=1000	ACO_F1=1_F2=5_Sync=100->ACO_F1=1_F2=5_Sync=1000	ACO_F1=1_F2=5_Sync=1000->ACO_F1=1_F2=5_Sync=100	
	10	2	33	100	0.5	1.0	00:10:31.00	00:08:40.00	-17.591125198098258	21.346153846153847	
	10	2	33	200	0.5	1.0	00:10:31.00	00:08:40.00	-17.591125198098258	21.346153846153847	
	10	2	33	100	1.0	0.33	00:17:09.00	00:17:21.00	1.1661807580174928	-1.1527377521613833	
	10	2	33	200	1.0	0.33	00:17:09.00	00:08:40.00	-49.46550048590865	97.88461538461539	
	10	2	33	100	0.5	0.33	00:20:33.00	00:20:33.00	0.0	0.0	
	10	2	33	200	0.5	0.33	00:20:55.00	00:20:29.00	-2.0717131474103585	2.115541090317331	
	10	2	33	100	1.0	0.66	00:08:40.00	00:08:40.00	0.0	0.0	
	10	2	33	200	1.0	0.66	00:08:40.00	00:08:40.00	0.0	0.0	
	10	2	33	100	0.5	0.66	00:23:06.00	00:08:37.00	-62.698412698412696	168.08510638297872	
	10	2	33	200	0.5	0.66	00:23:06.00	00:17:21.00	-24.891774891774894	33.14121037463977	
	10	2	33	100	1.0	1.0	00:09:30.00	00:09:30.00	0.0	0.0	
	10	2	33	200	1.0	1.0	00:09:30.00	00:09:30.00	0.0	0.0	
	10	2	33	100	0.0	0.0	00:17:01.00	00:08:40.00	-49.069539666993144	96.34615384615385	
	10	2	33	200	0.0	0.0	00:17:01.00	00:08:40.00	-49.069539666993144	96.34615384615385	

AVG OVERSPENT TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	ACO_F1=1_F2=5_Sync=100	ACO_F1=1_F2=5_Sync=1000	ACO_F1=1_F2=5_Sync=100->ACO_F1=1_F2=5_Sync=1000	ACO_F1=1_F2=5_Sync=1000->ACO_F1=1_F2=5_Sync=100	
	10	2	33		0.5	1.0	00:10:31.00	00:08:40.00	-17.591125198098258	21.346153846153847	
	10	2	33		1.0	0.33	00:17:09.00	00:13:00.50	-24.149659863945576	31.838565022421523	
	10	2	33		0.5	0.33	00:20:44.00	00:20:31.00	-1.045016077170418	1.0560519902518277	
	10	2	33		1.0	0.66	00:08:40.00	00:08:40.00	0.0	0.0	
