							Linear					
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	
	10	4	42	400	1.0	1.0	14409.902	00:00:02.00	1	00:00:00.00	00:00:32.52	
	10	3	42	500	0.5	0.33	14343.856	00:05:56.00	2	00:00:00.00	00:00:31.84	
	10	4	42	200	1.0	0.33	14409.902	00:00:00.00	0	00:00:00.00	00:00:29.56	
	10	4	42	400	0.0	0.0	14388.683	00:00:00.00	0	00:00:00.00	00:00:30.49	
	10	3	42	400	1.0	0.66	14092.349	00:00:00.00	0	00:00:00.00	00:00:28.71	
	10	3	42	400	0.5	0.66	13463.894	00:00:00.00	0	00:00:00.00	00:00:27.21	
	10	2	42	500	1.0	0.33	13563.662	00:08:07.00	6	00:00:00.00	00:00:25.75	
	10	2	42	500	0.5	0.33	13814.495	00:24:39.00	8	00:00:00.00	00:00:26.65	
	10	3	42	100	1.0	0.66	14092.349	00:00:00.00	0	00:00:00.00	00:00:28.21	
	10	2	42	200	0.5	0.33	13814.495	00:24:39.00	8	00:00:00.00	00:00:27.08	
	10	2	42	300	0.5	0.33	13814.495	00:24:39.00	8	00:00:00.00	00:00:27.41	
	10	3	42	300	0.0	0.0	14106.123	00:00:00.00	0	00:00:00.00	00:00:31.08	
	10	4	42	300	0.5	0.66	13803.457	00:00:14.00	1	00:00:00.00	00:00:30.85	
	10	2	42	500	1.0	0.66	13563.662	00:08:07.00	6	00:00:00.00	00:00:27.67	
	10	3	42	300	1.0	0.33	14092.349	00:00:00.00	0	00:00:00.00	00:00:30.66	
	10	4	42	300	1.0	0.33	14409.902	00:00:00.00	0	00:00:00.00	00:00:31.90	
	10	3	42	500	1.0	1.0	14146.602	00:00:47.00	3	00:00:00.00	00:00:31.20	
	10	4	42	200	1.0	0.66	14409.902	00:00:00.00	0	00:00:00.00	00:00:32.18	
