#Algo	0 – 0	0.5 – 0.33	0.5 – 0.66	0.5 – 1.0	1.0 – 0.33	1.0 – 0.66	1.0 – 1.0	0 – 0	0.5 – 0.33	0.5 – 0.66	0.5 – 1.0	1.0 – 0.33	1.0 – 0.66	1.0 – 1.0	0 – 0	0.5 – 0.33	0.5 – 0.66	0.5 – 1.0	1.0 – 0.33	1.0 – 0.66	1.0 – 1.0	0 – 0	0.5 – 0.33	0.5 – 0.66	0.5 – 1.0	1.0 – 0.33	1.0 – 0.66	1.0 – 1.0	0 – 0	0.5 – 0.33	0.5 – 0.66	0.5 – 1.0	1.0 – 0.33	1.0 – 0.66	1.0 – 1.0
"AVG ACO_{0,1}"	00:02:40.78	00:02:52.84	00:01:42.77	00:00:42.22	00:01:58.74	00:00:59.50	00:00:02.83	00:03:02.62	00:03:14.95	00:02:05.73	00:01:07.44	00:02:23.14	00:01:22.26	00:00:26.10	11053.15	10992.90	9844.95	10859.30	11156.26	10083.52	11037.98	00:49:28.50	00:33:09.50	00:08:40.00	01:02:25.00	01:05:09.50	00:16:40.00	00:09:30.00	11	8	4	12	10	6	5
"AVG ACO_{1,0}"	00:06:05.31	00:04:56.55	00:02:38.89	00:00:25.87	00:04:14.39	00:00:23.57	00:00:03.43	00:06:27.26	00:05:19.81	00:03:00.84	00:00:48.52	00:04:36.97	00:00:45.73	00:00:26.99	10521.13	10444.46	10499.30	10782.76	10742.87	10216.75	11044.97	00:14:38.50	00:12:43.50	00:09:15.50	00:10:08.00	00:11:11.50	00:09:15.50	00:09:30.00	6.5	6	5	6	6.5	5	5
"AVG ACO_{1,1}"	00:03:37.91	00:02:59.46	00:01:52.66	00:00:39.27	00:02:22.57	00:00:15.47	00:00:03.00	00:04:01.46	00:03:23.19	00:02:14.63	00:01:02.89	00:02:44.95	00:00:38.13	00:00:27.51	10370.33	10453.82	10308.45	11147.65	10566.33	10114.55	11037.98	00:19:07.00	00:22:54.50	00:14:50.50	00:22:50.50	00:18:27.00	00:13:00.00	00:09:30.00	6	8	5	9.5	6	5	5
"AVG ACO_{1,5}"	00:04:52.54	00:03:01.90	00:01:24.13	00:01:31.71	00:02:28.85	00:00:18.19	00:00:03.59	00:06:37.56	00:03:42.66	00:02:02.95	00:02:09.85	00:03:09.66	00:00:52.66	00:00:44.71	10378.27	10934.93	10518.40	10274.96	10507.70	9966.87	11037.98	00:12:50.50	00:20:33.00	00:15:51.50	00:09:35.50	00:17:15.00	00:08:40.00	00:09:30.00	5	8	5.5	5	6	4	5
"AVG ACO_{1,50}"	00:03:58.15	00:03:02.06	00:01:56.43	00:00:20.46	00:02:27.17	00:00:18.90	00:00:02.70	00:04:43.33	00:03:23.90	00:02:18.48	00:00:44.99	00:02:50.63	00:00:40.28	00:00:25.18	10383.32	10550.30	10198.98	11207.50	10411.41	9990.07	11037.98	00:12:52.50	00:22:19.50	00:17:44.50	00:18:04.50	00:17:19.00	00:08:52.50	00:09:30.00	5	8	6	9	6	4	5
"AVG ACO_{5,1}"	00:00:11.28	00:00:18.35	00:00:11.83	00:00:04.92	00:00:13.67	00:00:05.15	00:00:02.49	00:00:32.40	00:00:42.17	00:00:35.57	00:00:28.08	00:00:35.53	00:00:28.67	00:00:26.36	10201.56	10448.54	10361.58	10686.49	10565.53	10173.21	11037.98	00:16:14.00	00:13:00.00	00:07:33.00	00:12:21.00	00:14:32.00	00:07:33.00	00:09:30.00	6	6.5	4	7	7	4	5
"AVG ACO_{50,1}"	00:06:26.54	00:05:02.91	00:03:35.44	00:00:24.51	00:04:01.32	00:00:32.73	00:00:03.29	00:06:47.33	00:05:24.74	00:03:54.97	00:00:47.99	00:04:23.07	00:00:54.63	00:00:26.28	10490.25	10581.78	10553.93	10730.81	10607.55	10269.26	11037.98	00:12:48.50	00:11:02.50	00:09:12.00	00:11:11.00	00:12:19.00	00:09:12.00	00:09:30.00	6	7	5.5	6.5	7.5	5.5	5
"Greedy"	00:00:54.17	00:01:03.58	00:00:50.36	00:00:33.10	00:00:40.51	00:00:27.83	00:00:29.83	00:01:15.16	00:01:28.15	00:01:13.83	00:00:59.10	00:01:01.15	00:00:53.85	00:00:55.73	10148.424	10317.695	10596.919	11410.716	10148.424	11501.365	11487.622	00:14:27.00	00:14:27.00	00:09:59.00	00:05:53.00	00:14:27.00	00:00:00.00	00:30:39.00	6	6	4	6	6	0	10
"Linear"	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:23.47	00:00:24.10	00:00:26.73	00:00:30.35	00:00:23.05	00:00:26.51	00:00:27.71	11311.277	11292.572	11723.722	12628.42	11324.845	12605.23	11470.334	00:21:14.00	00:21:38.00	00:30:29.00	00:03:19.00	00:21:11.00	00:00:00.00	00:25:58.00	6	6	7	3	6	0	7
#"Branch & Bound"	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	0	0	0	0	0	0	0	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	00:00:00.00	0	0	0	0	0	0	0
